DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	PLATFORM [SNPS PASSING QC]	ASSOCIATION COUNT	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2010-09-24	20708005	Chalasani N	2010-08-10	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/20708005	Genome-wide association study identifies variants associated with histologic features of nonalcoholic Fatty liver disease.	Non-alcoholic fatty liver disease histology (lobular)	236 European ancestry cases	NA	Illumina [324623]	13	non-alcoholic fatty liver disease, cirrhosis of liver	http://www.ebi.ac.uk/efo/EFO_0003095, http://www.ebi.ac.uk/efo/EFO_0001422	GCST000766	Genome-wide genotyping array
2010-09-24	20708005	Chalasani N	2010-08-10	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/20708005	Genome-wide association study identifies variants associated with histologic features of nonalcoholic Fatty liver disease.	Non-alcoholic fatty liver disease histology (other)	236 European ancestry cases	NA	Illumina [324623]	16	serum alanine aminotransferase measurement, non-alcoholic fatty liver disease, cirrhosis of liver	http://www.ebi.ac.uk/efo/EFO_0004735, http://www.ebi.ac.uk/efo/EFO_0003095, http://www.ebi.ac.uk/efo/EFO_0001422	GCST000765	Genome-wide genotyping array
2010-09-24	20708005	Chalasani N	2010-08-10	Gastroenterology	www.ncbi.nlm.nih.gov/pubmed/20708005	Genome-wide association study identifies variants associated with histologic features of nonalcoholic Fatty liver disease.	Non-alcoholic fatty liver disease histology (AST)	236 European ancestry cases	NA	Illumina [324623]	6	non-alcoholic fatty liver disease, cirrhosis of liver	http://www.ebi.ac.uk/efo/EFO_0003095, http://www.ebi.ac.uk/efo/EFO_0001422	GCST000767	Genome-wide genotyping array
2010-10-05	20825314	Baratz KH	2010-09-09	N Engl J Med	www.ncbi.nlm.nih.gov/pubmed/20825314	E2-2 protein and Fuchs's corneal dystrophy.	Fuchs's corneal dystrophy	130 European ancestry cases, 260 European ancestry controls	150 cases, 150 controls	Illumina [~ 370000]	2	Fuchs endothelial corneal dystrophy	http://www.orpha.net/ORDO/Orphanet_98974	GCST000790	Genome-wide genotyping array
2010-10-06	20844546	Adachi S	2010-09-16	J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/20844546	Meta-analysis of genome-wide association scans for genetic susceptibility to endometriosis in Japanese population.	Endometriosis	696 Japanese ancestry cases, 825 Japanese ancestry controls	NA	Affymetrix [282838]	2	endometriosis	http://www.ebi.ac.uk/efo/EFO_0001065	GCST000797	Genome-wide genotyping array
2011-06-01	21540310	Hofmann S	2011-05-03	Eur Respir J	www.ncbi.nlm.nih.gov/pubmed/21540310	A genome-wide association study reveals evidence of association with sarcoidosis at 6p12.1.	Sarcoidosis	381 European ancestry cases, 392 European ancestry controls	1,582 European ancestry cases, 1,783 European ancestry controls	Affymetrix [97088]	0	Sarcoidosis	http://www.orpha.net/ORDO/Orphanet_797	GCST001064	Genome-wide genotyping array
2009-12-01	19880490	Tanaka T	2009-10-30	Blood	www.ncbi.nlm.nih.gov/pubmed/19880490	A genome-wide association analysis of serum iron concentrations.	Iron levels	1,919 European ancestry individuals	569 female indiviuals	Illumina [475322]	1	iron biomarker measurement	http://www.ebi.ac.uk/efo/EFO_0004461	GCST000517	Genome-wide genotyping array
2011-04-04	21326311	Bhatnagar P	2011-02-17	J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/21326311	Genome-wide association study identifies genetic variants influencing F-cell levels in sickle-cell patients.	F-cell distribution in sickle cell anaemia	440 African American individuals	NA	Illumina [660740]	11	fetal hemoglobin measurement, Sickle cell anemia	http://www.ebi.ac.uk/efo/EFO_0004576, http://www.orpha.net/ORDO/Orphanet_232	GCST000982	Genome-wide genotyping array
2011-06-01	21507922	Ramsuran V	2011-05-01	Clin Infect Dis	www.ncbi.nlm.nih.gov/pubmed/21507922	Duffy-null-associated low neutrophil counts influence HIV-1 susceptibility in high-risk South African black women.	Platelet count	115 African ancestry HIV-negative individuals	NA	Illumina [874956]	10	platelet count	http://www.ebi.ac.uk/efo/EFO_0004309	GCST001061	Genome-wide genotyping array
2011-06-01	21507922	Ramsuran V	2011-05-01	Clin Infect Dis	www.ncbi.nlm.nih.gov/pubmed/21507922	Duffy-null-associated low neutrophil counts influence HIV-1 susceptibility in high-risk South African black women.	Neutrophil count	115 African ancestry HIV-negative individuals	NA	Illumina [874956]	20	neutrophil count	http://www.ebi.ac.uk/efo/EFO_0004833	GCST001059	Genome-wide genotyping array
2010-07-01	20541252	Wang TJ	2010-06-09	Lancet	www.ncbi.nlm.nih.gov/pubmed/20541252	Common genetic determinants of vitamin D insufficiency: a genome-wide association study.	Vitamin D insufficiency	16,125 European ancestry individuals	17,871 European ancestry individuals	Affymetrix, Illumina [up to 2548976] (imputed)	3	vitamin D deficiency	http://www.ebi.ac.uk/efo/EFO_0003762	GCST000697	Genome-wide genotyping array
2015-05-23	21326860	Tsai FJ	2011-02-04	PLoS One	www.ncbi.nlm.nih.gov/pubmed/21326860	Identification of novel susceptibility Loci for kawasaki disease in a Han chinese population by a genome-wide association study.	Kawasaki disease	250 Han Chinese ancestry cases, 446 Han Chinese ancestry controls	208 Han Chinese ancestry cases, 366 Han Chinese ancestry controls	Affymetrix [723638]	2	mucocutaneous lymph node syndrome	http://www.ebi.ac.uk/efo/EFO_0004246	GCST000962	Genome-wide genotyping array
2010-08-11	20601957	Uno S	2010-07-04	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20601957	A genome-wide association study identifies genetic variants in the CDKN2BAS locus associated with endometriosis in Japanese.	Endometriosis	1,423 Japanese ancestry cases, 1,318 Japanese ancestry controls	484 Japanese ancestry cases, 3,974 Japanese ancestry controls	Illumina [460945]	2	endometriosis	http://www.ebi.ac.uk/efo/EFO_0001065	GCST000721	Genome-wide genotyping array
2011-05-28	21529783	Heath AC	2011-04-27	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/21529783	A quantitative-trait genome-wide association study of alcoholism risk in the community: findings and implications.	Alcoholism (heaviness of drinking)	2,062 European ancestry alcohol dependence cases, 6,692 European ancestry controls	3,393 European ancestry individuals	Illumina [~ 300000]	8	alcohol dependence	http://www.ebi.ac.uk/efo/EFO_0003829	GCST001052	Genome-wide genotyping array
2011-05-28	21529783	Heath AC	2011-04-27	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/21529783	A quantitative-trait genome-wide association study of alcoholism risk in the community: findings and implications.	Alcoholism (12-month weekly alcohol consumption)	2,062 European ancestry alcohol dependence cases, 6,692 European ancestry controls	3,393 European ancestry individuals	Illumina [~ 300000]	2	alcohol dependence	http://www.ebi.ac.uk/efo/EFO_0003829	GCST001055	Genome-wide genotyping array
2011-05-28	21529783	Heath AC	2011-04-27	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/21529783	A quantitative-trait genome-wide association study of alcoholism risk in the community: findings and implications.	Alcoholism (alcohol use disorder factor score)	2,062 European ancestry alcohol dependence cases, 6,692 European ancestry controls	3,393 European ancestry individuals	Illumina [~ 300000]	6	alcohol dependence	http://www.ebi.ac.uk/efo/EFO_0003829	GCST001053	Genome-wide genotyping array
2011-05-28	21529783	Heath AC	2011-04-27	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/21529783	A quantitative-trait genome-wide association study of alcoholism risk in the community: findings and implications.	Alcoholism (alcohol dependence factor score)	2,062 European ancestry alcohol dependence cases, 6,692 European ancestry controls	3,393 European ancestry individuals	Illumina [~ 300000]	6	alcohol dependence	http://www.ebi.ac.uk/efo/EFO_0003829	GCST001054	Genome-wide genotyping array
2010-09-22	20711177	Hamza TH	2010-08-15	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20711177	Common genetic variation in the HLA region is associated with late-onset sporadic Parkinson's disease.	Parkinson's disease	2,000 European ancestry cases, 1,986 European ancestry controls	Up to 1,447 cases, 1,468 controls	Illumina [811597]	4	Parkinson's disease	http://www.ebi.ac.uk/efo/EFO_0002508	GCST000772	Genome-wide genotyping array
2010-10-07	20852633	Bolton KL	2010-09-19	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/20852633	Common variants at 19p13 are associated with susceptibility to ovarian cancer.	Ovarian cancer	1,768 European ancestry cases, 2,353 European ancestry controls	8,739 European ancestry cases, 10,831 European ancestry controls	Illumina [540573]	2	ovarian carcinoma	http://www.ebi.ac.uk/efo/EFO_0001075	GCST000800	Genome-wide genotyping array
2010-09-28	20802025	Tang W	2010-08-27	Blood	www.ncbi.nlm.nih.gov/pubmed/20802025	Genome-wide association study identifies novel loci for plasma levels of protein C: the ARIC study.	Protein C levels	8,048 European ancestry individuals	1,376 European ancestry individuals	Affymetrix [2461269]	4	protein C measurement	http://www.ebi.ac.uk/efo/EFO_0004633	GCST000780	Genome-wide genotyping array
2013-08-30	23594818	Ikeda M	2013-04-17	Neuropsychopharmacology	www.ncbi.nlm.nih.gov/pubmed/23594818	Evidence for shared genetic risk between methamphetamine-induced psychosis and schizophrenia.	Psychosis (methamphetamine induced)	193 East Asian ancestry methamphetamine-dependent cases, 41 East Asian ancestry methamphetamine-dependent controls	NA	Affymetrix [244224]	1	methamphetamine-induced psychosis	http://www.ebi.ac.uk/efo/EFO_0005242	GCST001975	Genome-wide genotyping array
2013-08-30	23594818	Ikeda M	2013-04-17	Neuropsychopharmacology	www.ncbi.nlm.nih.gov/pubmed/23594818	Evidence for shared genetic risk between methamphetamine-induced psychosis and schizophrenia.	Methamphetamine dependence	236 Japanese ancestry cases, 864 Japanese ancestry controls	NA	Affymetrix [244224]	1	schizophrenia	http://www.ebi.ac.uk/efo/EFO_0000692	GCST001972	Genome-wide genotyping array
2013-09-27	23562540	Cruchaga C	2013-04-04	Neuron	www.ncbi.nlm.nih.gov/pubmed/23562540	GWAS of cerebrospinal fluid tau levels identifies risk variants for Alzheimer's disease.	Alzheimer's disease biomarkers	591 European ancestry cases, 687 European ancestry controls		Illumina [5815690] (imputed)	6	Alzheimer's disease	http://www.ebi.ac.uk/efo/EFO_0000249	GCST001951	Genome-wide genotyping array
2009-06-14	19483681	Rapley EA	2009-05-31	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19483681	A genome-wide association study of testicular germ cell tumor.	Testicular germ cell tumor	730 cases, 1,435 controls	571 cases, 1,806 controls	Illumina [307666]	6	testicular carcinoma	http://www.ebi.ac.uk/efo/EFO_0005088	GCST000414	Genome-wide genotyping array
2011-05-11	21483430	Carless MA	2011-04-12	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/21483430	Impact of DISC1 variation on neuroanatomical and neurocognitive phenotypes.	Neuranatomic and neurocognitive phenotypes	857 Mexican American individuals	NA	Illumina [543031]	1	neuroimaging measurement, South Texas Assessment of Neurocognition	http://www.ebi.ac.uk/efo/EFO_0004346, http://www.ebi.ac.uk/efo/EFO_0004785	GCST001037	Genome-wide genotyping array
2010-11-24	20947153	Ueta M	2010-10-12	J Allergy Clin Immunol	www.ncbi.nlm.nih.gov/pubmed/20947153	Association between prostaglandin E receptor 3 polymorphisms and Stevens-Johnson syndrome identified by means of a genome-wide association study.	Stevens-Johnson syndrome	60 Japanese ancestry cases, 300 Japanese ancestry controls	40 cases, 608 controls	Affymetrix [313924]	0	Stevens-Johnson syndrome	http://www.ebi.ac.uk/efo/EFO_0004276	GCST000832	Genome-wide genotyping array
2009-01-06	19023125	Potkin SG	2008-11-20	Schizophr Bull	www.ncbi.nlm.nih.gov/pubmed/19023125	A genome-wide association study of schizophrenia using brain activation as a quantitative phenotype.	Brain imaging in schizophrenia (dorsolateral prefrontal cortex interaction)	46 European ancestry cases, 60 European ancestry controls, 18 cases, 14 controls	NA	Illumina [302783]	6	schizophrenia, dorsolateral prefrontal cortex functional measurement	http://www.ebi.ac.uk/efo/EFO_0000692, http://www.ebi.ac.uk/efo/EFO_0008358	GCST000271	Genome-wide genotyping array
2009-12-10	19915575	Simon-Sanchez J	2009-11-15	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19915575	Genome-wide association study reveals genetic risk underlying Parkinson's disease.	Parkinson's disease	1,713 European ancestry cases, 3,978 European ancestry controls	3,361 European ancestry cases, 4,573 European ancestry controls	Illumina [463185]	10	Parkinson's disease	http://www.ebi.ac.uk/efo/EFO_0002508	GCST000528	Genome-wide genotyping array
2009-03-31	19300500	Wilk JB	2009-03-20	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/19300500	A genome-wide association study of pulmonary function measures in the Framingham Heart Study.	Pulmonary function	7,691 European ancestry individuals	835 European ancestry individuals	Affymetrix [2540223] (imputed)	1	pulmonary function measurement	http://www.ebi.ac.uk/efo/EFO_0003892	GCST000362	Genome-wide genotyping array
2009-04-02	19305409	Pfeufer A	2009-03-22	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19305409	Common variants at ten loci modulate the QT interval duration in the QTSCD Study.	QT interval	15,842 European ancestry individuals	up to 13,602 individuals	Affymetrix, Illumina [2557000] (imputed)	12	QT interval	http://www.ebi.ac.uk/efo/EFO_0004682	GCST000364	Genome-wide genotyping array
2009-03-29	19282985	Liu YZ	2009-03-13	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/19282985	Genome-wide association analyses identify SPOCK as a key novel gene underlying age at menarche.	Menarche (age at onset)	477 European ancestry females	854 European ancestry siblings, 762 European ancestry female individuals, 1,387 Chinese ancestry female individuals	Affymetrix [379319]	0	age at menarche	http://www.ebi.ac.uk/efo/EFO_0004703	GCST000355	Genome-wide genotyping array
2010-07-16	20585627	Eriksson N	2010-06-24	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/20585627	Web-based, participant-driven studies yield novel genetic associations for common traits.	Hair color	9,126 European ancestry individuals	NA	Illumina [535076]	12	hair color	http://www.ebi.ac.uk/efo/EFO_0003924	GCST000707	Genome-wide genotyping array
2010-07-16	20585627	Eriksson N	2010-06-24	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/20585627	Web-based, participant-driven studies yield novel genetic associations for common traits.	Freckling	9,126 European ancestry individuals	NA	Illumina [535076]	4	freckles	http://www.ebi.ac.uk/efo/EFO_0003963	GCST000708	Genome-wide genotyping array
2010-07-16	20585627	Eriksson N	2010-06-24	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/20585627	Web-based, participant-driven studies yield novel genetic associations for common traits.	Common traits (Other)	9,126 European ancestry individuals	NA	Illumina [535076]	16	sensory perception of taste, functional laterality, hair morphology, circadian rhythm, personality, braces, sensory perception of smell, Attached earlobe, Astigmatism, Sneeze	http://purl.obolibrary.org/obo/GO_0050909, http://www.ebi.ac.uk/efo/EFO_0003889, http://www.ebi.ac.uk/efo/EFO_0005038, http://www.ebi.ac.uk/efo/EFO_0004354, http://www.ebi.ac.uk/efo/EFO_0003947, http://www.ebi.ac.uk/efo/EFO_0004291, http://purl.obolibrary.org/obo/GO_0007608, http://purl.obolibrary.org/obo/HP_0009907, http://purl.obolibrary.org/obo/HP_0000483, http://purl.obolibrary.org/obo/HP_0025095	GCST000706	Genome-wide genotyping array
2010-07-16	20585627	Eriksson N	2010-06-24	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/20585627	Web-based, participant-driven studies yield novel genetic associations for common traits.	Eye color	9,126 European ancestry individuals	NA	Illumina [535076]	8	eye color	http://www.ebi.ac.uk/efo/EFO_0003949	GCST000710	Genome-wide genotyping array
2010-09-28	20832056	Ikeda M	2010-09-08	Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/20832056	Genome-wide association study of schizophrenia in a Japanese population.	Schizophrenia	560 Japanese ancestry cases, 548 Japanese ancestry controls	1,511 Japanese ancestry cases, 2,451 Japanese ancestry controls, 479 European ancestry cases, 2,938 European ancestry controls	Affymetrix [297645]	0	schizophrenia	http://www.ebi.ac.uk/efo/EFO_0000692	GCST000788	Genome-wide genotyping array
2008-06-16	17052657	Fung HC	2006-09-28	Lancet Neurol	www.ncbi.nlm.nih.gov/pubmed/17052657	Genome-wide genotyping in Parkinson's disease and neurologically normal controls: first stage analysis and public release of data.	Parkinson's disease	267 European ancestry cases, 270 European ancestry controls	NA	Illumina [408803]	3	Parkinson's disease	http://www.ebi.ac.uk/efo/EFO_0002508	GCST000005	Genome-wide genotyping array
2008-12-01	18940312	Yuan X	2008-10-10	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/18940312	Population-based genome-wide association studies reveal six loci influencing plasma levels of liver enzymes.	Liver enzyme levels	7,751 European ancestry individuals	1,005 European ancestry individuals, 3,669 Asian Indian ancestry individuals	Affymetrix, Illumina [up to 496032]	11	liver enzyme measurement	http://www.ebi.ac.uk/efo/EFO_0004582	GCST000248	Genome-wide genotyping array
2009-04-22	19367585	Poduslo SE	2009-04-14	Am J Med Genet B Neuropsychiatr Genet	www.ncbi.nlm.nih.gov/pubmed/19367585	A genome screen of successful aging without cognitive decline identifies LRP1B by haplotype analysis.	Aging	89 European ancestry and African American successfully aged individuals, 227 European ancestry Alzheimers cases	NA	Affymetrix [469218]	1	aging	http://purl.obolibrary.org/obo/GO_0007568	GCST000378	Genome-wide genotyping array
2009-06-16	19488044	Smith EN	2009-06-02	Mol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/19488044	Genome-wide association study of bipolar disorder in European American and African American individuals.	Bipolar disorder	1,001 European ancestry cases, 1,033 European ancestry controls, 345 African American cases, 670 African American controls	1,550 European ancestry individuals from 250 families, 1,263 European ancestry cases, 431 European ancestry controls	Affymetrix [702044]	1	bipolar disorder	http://www.ebi.ac.uk/efo/EFO_0000289	GCST000417	Genome-wide genotyping array
2009-02-06	19169254	Nair RP	2009-01-25	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19169254	Genome-wide scan reveals association of psoriasis with IL-23 and NF-kappaB pathways.	Psoriasis	1,359 European ancestry cases, 1,400 European ancestry controls	5,048 European ancestry cases, 5,041 European ancestry controls	Perlegen [~ 2500000] (imputed)	8	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	GCST000322	Genome-wide genotyping array
2009-05-05	19396169	Cho YS	2009-04-26	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19396169	A large-scale genome-wide association study of Asian populations uncovers genetic factors influencing eight quantitative traits.	Height	8,842 Korean ancestry individuals	7,861 Korean ancestry individuals	Affymetrix [2156535] (imputed)	5	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST000380	Genome-wide genotyping array
2009-05-05	19396169	Cho YS	2009-04-26	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19396169	A large-scale genome-wide association study of Asian populations uncovers genetic factors influencing eight quantitative traits.	Biomedical quantitative traits	8,842 Korean ancestry individuals	7,861 Korean ancestry individuals	Affymetrix [2156535] (imputed)	8	diastolic blood pressure, systolic blood pressure, bone density, heart rate, waist-hip ratio, body mass index	http://www.ebi.ac.uk/efo/EFO_0006336, http://www.ebi.ac.uk/efo/EFO_0006335, http://www.ebi.ac.uk/efo/EFO_0003923, http://www.ebi.ac.uk/efo/EFO_0004326, http://www.ebi.ac.uk/efo/EFO_0004343, http://www.ebi.ac.uk/efo/EFO_0004340	GCST000381	Genome-wide genotyping array
2009-03-03	19151714	Meyre D	2009-01-18	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19151714	Genome-wide association study for early-onset and morbid adult obesity identifies three new risk loci in European populations.	Obesity	695 European ancestry adult cases, 731 European ancestry adult controls, 685 European ancestry child cases, 685 European ancestry child controls	1,171 European ancestry adult cases, 1,114 European ancestry adult controls, 4,417 European ancestry adults, 896 European ancestry child cases, 1,297 European ancestry child and young adult controls, 5,291 European ancestry children	Illumina [308846]	13	obesity	http://www.ebi.ac.uk/efo/EFO_0001073	GCST000317	Genome-wide genotyping array
2015-05-12	22013104	Melka MG	2011-10-19	J Clin Endocrinol Metab	www.ncbi.nlm.nih.gov/pubmed/22013104	Genome-wide scan for loci of adolescent obesity and their relationship with blood pressure.	Obesity-related traits	598 French Canadian founder adolescent individuals	NA	Illumina [530011]	5	fat body mass, body mass index, obesity	http://www.ebi.ac.uk/efo/EFO_0005409, http://www.ebi.ac.uk/efo/EFO_0004340, http://www.ebi.ac.uk/efo/EFO_0001073	GCST001288	Genome-wide genotyping array
2008-06-16	17478679	Helgadottir A	2007-05-03	Science	www.ncbi.nlm.nih.gov/pubmed/17478679	A common variant on chromosome 9p21 affects the risk of myocardial infarction.	Myocardial infarction	1,607 European ancestry cases, 6,728 European ancestry controls	2,980 European ancestry cases, 6,309 European ancestry controls	Illumina [305953]	1	myocardial infarction	http://www.ebi.ac.uk/efo/EFO_0000612	GCST000030	Genome-wide genotyping array
2008-06-16	17634449	Samani NJ	2007-07-18	N Engl J Med	www.ncbi.nlm.nih.gov/pubmed/17634449	Genomewide association analysis of coronary artery disease.	Coronary heart disease	1,926 European ancestry cases, 2,938 European ancestry controls	875 European ancestry cases, 1,644 European ancestry controls	Affymetrix [377857]	7	coronary heart disease	http://www.ebi.ac.uk/efo/EFO_0001645	GCST000057	Genome-wide genotyping array
2008-06-16	16252231	Maraganore DM	2005-09-09	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/16252231	High-resolution whole-genome association study of Parkinson disease.	Parkinson's disease	381 European ancestry cases, 363 European ancestry controls, 62 cases,79 controls, 1 Asian ancestry control from 443 sibships	269 European ancestry cases, 272 European ancestry controls, 62 cases, 60 controls, 1 Asian ancestry case	Perlegen [198345]	1	Parkinson's disease	http://www.ebi.ac.uk/efo/EFO_0002508	GCST000002	Genome-wide genotyping array
2009-09-28	17911428	Cervino AC	2007-10-08	Ann N Y Acad Sci	www.ncbi.nlm.nih.gov/pubmed/17911428	A genome-wide study of lupus: preliminary analysis and data release.	Lupus	51 cases,114 controls	NA	Affymetrix [241701]	0	systemic lupus erythematosus	http://www.ebi.ac.uk/efo/EFO_0002690	GCST000112	Genome-wide genotyping array
2012-02-21	22295056	Christie JD	2012-01-25	PLoS One	www.ncbi.nlm.nih.gov/pubmed/22295056	Genome wide association identifies PPFIA1 as a candidate gene for acute lung injury risk following major trauma.	Acute lung injury	600 European ancestry cases, 2,266 European ancestry controls	212 European ancestry cases, 283 European ancestry controls	Illumina [2487415] (imputed)	0	acute lung injury	http://www.ebi.ac.uk/efo/EFO_0004610	GCST001383	Genome-wide genotyping array
2008-06-16	15761122	Klein RJ	2005-03-10	Science	www.ncbi.nlm.nih.gov/pubmed/15761122	Complement factor H polymorphism in age-related macular degeneration.	Age-related macular degeneration	96 European ancestry cases, 50 European ancestry controls	NA	Affymetrix [103611]	1	age-related macular degeneration	http://www.ebi.ac.uk/efo/EFO_0001365	GCST000001	Genome-wide genotyping array
2015-05-06	22158540	Wu C	2011-12-11	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/22158540	Genome-wide association study identifies five loci associated with susceptibility to pancreatic cancer in Chinese populations.	Pancreatic cancer	981 Han Chinese ancestry cases, 1,991 Han Chinese ancestry controls	2,603 Han Chinese ancestry cases, 2,877 Han Chinese ancestry controls	Affymetrix [666141]	11	pancreatic carcinoma	http://www.ebi.ac.uk/efo/EFO_0002618	GCST001350	Genome-wide genotyping array
2009-04-22	19343178	Soranzo N	2009-04-03	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/19343178	Meta-analysis of genome-wide scans for human adult stature identifies novel Loci and associations with measures of skeletal frame size.	Height	12,611 European ancestry individuals	7,187 European ancestry individuals	Illumina [229216]	20	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST000372	Genome-wide genotyping array
2009-06-14	19478819	Ng CC	2009-05-29	J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/19478819	A genome-wide association study identifies ITGA9 conferring risk of nasopharyngeal carcinoma.	Nasopharyngeal carcinoma	111 Malaysian Chinese ancestry cases, 260 Malaysian Chinese ancestry controls	168 Malaysian Chinese ancestry cases, 252 Malaysian Chinese ancestry controls	Illumina [533048]	1	nasopharyngeal neoplasm	http://www.ebi.ac.uk/efo/EFO_0004252	GCST000413	Genome-wide genotyping array
2010-03-12	20172861	Okada Y	2010-02-18	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/20172861	Common variations in PSMD3-CSF3 and PLCB4 are associated with neutrophil count.	Neutrophil count	5,771 Japanese ancestry individuals	1,894 Japanese ancestry individuals	Illumina [486091]	2	neutrophil count	http://www.ebi.ac.uk/efo/EFO_0004833	GCST000600	Genome-wide genotyping array
2009-10-15	19197348	Lowe JK	2009-02-06	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/19197348	Genome-wide association studies in an isolated founder population from the Pacific Island of Kosrae.	Quantitative traits	2,906 Kosraen individuals	NA	Affymetrix [408775]	33	waist circumference, total cholesterol measurement, body fat distribution, C-reactive protein measurement, body mass index, high density lipoprotein cholesterol measurement, body height, diastolic blood pressure, triglyceride measurement, systolic blood pressure, low density lipoprotein cholesterol measurement, body weight, thyroid stimulating hormone measurement	http://www.ebi.ac.uk/efo/EFO_0004342, http://www.ebi.ac.uk/efo/EFO_0004574, http://www.ebi.ac.uk/efo/EFO_0004341, http://www.ebi.ac.uk/efo/EFO_0004458, http://www.ebi.ac.uk/efo/EFO_0004340, http://www.ebi.ac.uk/efo/EFO_0004612, http://www.ebi.ac.uk/efo/EFO_0004339, http://www.ebi.ac.uk/efo/EFO_0006336, http://www.ebi.ac.uk/efo/EFO_0004530, http://www.ebi.ac.uk/efo/EFO_0006335, http://www.ebi.ac.uk/efo/EFO_0004611, http://www.ebi.ac.uk/efo/EFO_0004338, http://www.ebi.ac.uk/efo/EFO_0004748	GCST000337	Genome-wide genotyping array
2009-01-14	19084217	Benyamin B	2008-12-17	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/19084217	Variants in TF and HFE explain approximately 40% of genetic variation in serum-transferrin levels.	Iron status biomarkers	411 European ancestry individuals from 150 families	NA	Affymetrix [100846]	3	iron biomarker measurement	http://www.ebi.ac.uk/efo/EFO_0004461	GCST000302	Genome-wide genotyping array
2009-01-14	19084217	Benyamin B	2008-12-17	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/19084217	Variants in TF and HFE explain approximately 40% of genetic variation in serum-transferrin levels.	Iron status biomarkers	459 European ancestry twin pairs	NA	Illumina [315887]	24	iron biomarker measurement	http://www.ebi.ac.uk/efo/EFO_0004461	GCST000301	Genome-wide genotyping array
2009-06-17	19503088	Gregersen PK	2009-06-07	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/19503088	REL, encoding a member of the NF-kappaB family of transcription factors, is a newly defined risk locus for rheumatoid arthritis.	Rheumatoid arthritis	2,418 European ancestry cases, 4,504 European ancestry controls	2,604 cases, 2,882 controls	Illumina [278502]	5	rheumatoid arthritis	http://www.ebi.ac.uk/efo/EFO_0000685	GCST000420	Genome-wide genotyping array
2011-01-13	21160077	Gudmundsson J	2010-12-15	Sci Transl Med	www.ncbi.nlm.nih.gov/pubmed/21160077	Genetic correction of PSA values using sequence variants associated with PSA levels.	Serum prostate-specific antigen levels	7,538 European ancestry individuals	2,373 European ancestry individuals	Illumina [304070]	7	prostate specific antigen measurement	http://www.ebi.ac.uk/efo/EFO_0004624	GCST000919	Genome-wide genotyping array
2014-07-01	21130132	Mick E	2010-12-01	Prog Neuropsychopharmacol Biol Psychiatry	www.ncbi.nlm.nih.gov/pubmed/21130132	Genome-wide association study of blood pressure response to methylphenidate treatment of attention-deficit/hyperactivity disorder.	Response to methylphenidate treatment in attention-deficit/hyperactivity disorder (blood pressure)	140 child cases	NA	Affymetrix [316934]	7	response to methylphenidate	http://purl.obolibrary.org/obo/GO_0036271	GCST000903	Genome-wide genotyping array
