Disease trait	EFO term	EFO URI	Parent term	Parent URI
Gestational age at birth (maternal effect)	gestational age	http://www.ebi.ac.uk/efo/EFO_0005112	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Gestational age at birth in labor-initiated deliveries (child effect)	gestational age	http://www.ebi.ac.uk/efo/EFO_0005112	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Gestational age at birth in labor-initiated deliveries (maternal effect)	gestational age	http://www.ebi.ac.uk/efo/EFO_0005112	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Gestational age at birth in premature rupture of membrane-initiated deliveries (child effect)	gestational age	http://www.ebi.ac.uk/efo/EFO_0005112	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Gestational age at birth in premature rupture of membrane-initiated deliveries (maternal effect)	gestational age	http://www.ebi.ac.uk/efo/EFO_0005112	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Obesity-related traits	gestational age	http://www.ebi.ac.uk/efo/EFO_0005112	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Post-term birth	gestational age	http://www.ebi.ac.uk/efo/EFO_0005112	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Premature menopause in childhood cancer survivors	primary ovarian insufficiency	http://www.ebi.ac.uk/efo/EFO_0004266	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Premature ovarian failure	primary ovarian insufficiency	http://www.ebi.ac.uk/efo/EFO_0004266	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Alcohol misuse (trauma interaction)	stressful life event measurement	http://www.ebi.ac.uk/efo/EFO_0007781	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Depressive symptoms (stressful life events interaction)	stressful life event measurement	http://www.ebi.ac.uk/efo/EFO_0007781	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Depressive symptoms x dependent stressful life events interaction (1df test)	stressful life event measurement	http://www.ebi.ac.uk/efo/EFO_0007781	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Depressive symptoms x dependent stressful life events interaction (2df test)	stressful life event measurement	http://www.ebi.ac.uk/efo/EFO_0007781	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Depressive symptoms x independent stressful life events interaction (1df test)	stressful life event measurement	http://www.ebi.ac.uk/efo/EFO_0007781	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Depressive symptoms x independent stressful life events interaction (2df test)	stressful life event measurement	http://www.ebi.ac.uk/efo/EFO_0007781	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Depressive symptoms x stressful life events interaction (1df test)	stressful life event measurement	http://www.ebi.ac.uk/efo/EFO_0007781	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Depressive symptoms x stressful life events interaction (2df test)	stressful life event measurement	http://www.ebi.ac.uk/efo/EFO_0007781	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Major depressive disorder (stressful life events interaction)	stressful life event measurement	http://www.ebi.ac.uk/efo/EFO_0007781	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Psychological resilience (outcome-based) in high deployment stress exposure	stressful life event measurement	http://www.ebi.ac.uk/efo/EFO_0007781	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Reporting of stressful life event	stressful life event measurement	http://www.ebi.ac.uk/efo/EFO_0007781	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Chronic periodontitis (mean interproximal clinical attachment level)	periodontal measurement	http://www.ebi.ac.uk/efo/EFO_0007780	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Loose teeth	periodontal measurement	http://www.ebi.ac.uk/efo/EFO_0007780	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Painful gums	periodontal measurement	http://www.ebi.ac.uk/efo/EFO_0007780	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Periodontal disease related phenotype (PCT2)	periodontal measurement	http://www.ebi.ac.uk/efo/EFO_0007780	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Periodontal disease related phenotype (PCT3)	periodontal measurement	http://www.ebi.ac.uk/efo/EFO_0007780	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Periodontal disease related phenotype (PCT4)	periodontal measurement	http://www.ebi.ac.uk/efo/EFO_0007780	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Periodontal disease related phenotype (PCT5)	periodontal measurement	http://www.ebi.ac.uk/efo/EFO_0007780	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Periodontal disease related phenotype (PCT6)	periodontal measurement	http://www.ebi.ac.uk/efo/EFO_0007780	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Periodontal disease-related phenotype (Socransky)	periodontal measurement	http://www.ebi.ac.uk/efo/EFO_0007780	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Periodontitis or loose teeth	periodontal measurement	http://www.ebi.ac.uk/efo/EFO_0007780	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Anemia in mycophenolic acid treated kidney transplant patients (time to event)	anemia	http://www.ebi.ac.uk/efo/EFO_0004272	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Iron deficiency	anemia	http://www.ebi.ac.uk/efo/EFO_0004272	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Ribavirin-induced anemia	anemia	http://www.ebi.ac.uk/efo/EFO_0004272	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Restless legs syndrome	restless legs syndrome	http://www.ebi.ac.uk/efo/EFO_0004270	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Febrile seizures	febrile seizures	http://purl.obolibrary.org/obo/HP_0002373	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Febrile seizures (MMR vaccine-unrelated)	febrile seizures	http://purl.obolibrary.org/obo/HP_0002373	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Albumin-globulin ratio	albumin:globulin ratio measurement	http://www.ebi.ac.uk/efo/EFO_0005128	Cardiovascular measurement	http://www.ebi.ac.uk/efo/EFO_0004298
Hematology traits	albumin:globulin ratio measurement	http://www.ebi.ac.uk/efo/EFO_0005128	Cardiovascular measurement	http://www.ebi.ac.uk/efo/EFO_0004298
Hepatitis C induced liver cirrhosis	hepatitis C induced liver cirrhosis	http://www.ebi.ac.uk/efo/EFO_0005129	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Metabolic traits	inflammatory response	http://purl.obolibrary.org/obo/GO_0006954	Biological process	http://purl.obolibrary.org/obo/GO_0008150
Betaine levels in individuals undergoing cardiac evaluation	plasma betaine measurement	http://www.ebi.ac.uk/efo/EFO_0007787	Cardiovascular measurement	http://www.ebi.ac.uk/efo/EFO_0004298
Carbamazepine-induced Stevens-Johnson syndrome or toxic epidermal necrolysis (SJS/TEN)	Stevens-Johnson syndrome	http://www.ebi.ac.uk/efo/EFO_0004276	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Cold medicine-related Stevens-Johnson syndrome/toxic epidermal necrolysis (SJS/TEN) with severe mucosal involvement	Stevens-Johnson syndrome	http://www.ebi.ac.uk/efo/EFO_0004276	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Cold medicine-related Stevens-Johnson syndrome/toxic epidermal necrolysis (SJS/TEN) with severe ocular complications	Stevens-Johnson syndrome	http://www.ebi.ac.uk/efo/EFO_0004276	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Drug-induced Stevens-Johnson syndrome or toxic epidermal necrolysis (SJS/TEN)	Stevens-Johnson syndrome	http://www.ebi.ac.uk/efo/EFO_0004276	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Nevirapine-induced hypersensitivity in HIV (Stevens-Johnson syndrome or toxic epidermal necrosis)	Stevens-Johnson syndrome	http://www.ebi.ac.uk/efo/EFO_0004276	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Stevens-Johnson syndrome	Stevens-Johnson syndrome	http://www.ebi.ac.uk/efo/EFO_0004276	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Stevens-Johnson syndrome and toxic epidermal necrolysis (SJS-TEN)	Stevens-Johnson syndrome	http://www.ebi.ac.uk/efo/EFO_0004276	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Length of menstrual cycle	menstrual cycle measurement	http://www.ebi.ac.uk/efo/EFO_0007786	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
White coat effect (clinic diastolic blood pressure minus ambulatory diastolic blood pressure)	response to stress	http://purl.obolibrary.org/obo/GO_0006950	Biological process	http://purl.obolibrary.org/obo/GO_0008150
White coat effect (clinic diastolic blood pressure minus home diastolic blood pressure)	response to stress	http://purl.obolibrary.org/obo/GO_0006950	Biological process	http://purl.obolibrary.org/obo/GO_0008150
White coat effect (clinic systolic blood pressure minus ambulatory systolic blood pressure)	response to stress	http://purl.obolibrary.org/obo/GO_0006950	Biological process	http://purl.obolibrary.org/obo/GO_0008150
White coat effect (clinic systolic blood pressure minus home systolic blood pressure)	response to stress	http://purl.obolibrary.org/obo/GO_0006950	Biological process	http://purl.obolibrary.org/obo/GO_0008150
Anthropometric traits	BMI-adjusted waist circumference	http://www.ebi.ac.uk/efo/EFO_0007789	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist circumference adjusted for BMI (adjusted for smoking behaviour)	BMI-adjusted waist circumference	http://www.ebi.ac.uk/efo/EFO_0007789	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist circumference adjusted for BMI (joint analysis main effects and physical activity interaction)	BMI-adjusted waist circumference	http://www.ebi.ac.uk/efo/EFO_0007789	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction)	BMI-adjusted waist circumference	http://www.ebi.ac.uk/efo/EFO_0007789	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist circumference adjusted for BMI (physical activity interaction)	BMI-adjusted waist circumference	http://www.ebi.ac.uk/efo/EFO_0007789	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist circumference adjusted for BMI (smoking interaction)	BMI-adjusted waist circumference	http://www.ebi.ac.uk/efo/EFO_0007789	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist circumference adjusted for BMI in active individuals	BMI-adjusted waist circumference	http://www.ebi.ac.uk/efo/EFO_0007789	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist circumference adjusted for BMI in inactive individuals	BMI-adjusted waist circumference	http://www.ebi.ac.uk/efo/EFO_0007789	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist circumference adjusted for BMI in non-smokers	BMI-adjusted waist circumference	http://www.ebi.ac.uk/efo/EFO_0007789	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist circumference adjusted for BMI in smokers	BMI-adjusted waist circumference	http://www.ebi.ac.uk/efo/EFO_0007789	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist circumference adjusted for body mass index	BMI-adjusted waist circumference	http://www.ebi.ac.uk/efo/EFO_0007789	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Bipolar II disorder	bipolar II disoder	http://www.ebi.ac.uk/efo/EFO_0009964	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Gout	gout	http://www.ebi.ac.uk/efo/EFO_0004274	Metabolic disorder	http://www.ebi.ac.uk/efo/EFO_0000589
Gout in chronic kidney disease	gout	http://www.ebi.ac.uk/efo/EFO_0004274	Metabolic disorder	http://www.ebi.ac.uk/efo/EFO_0000589
Gout vs. Hyperuricemia	gout	http://www.ebi.ac.uk/efo/EFO_0004274	Metabolic disorder	http://www.ebi.ac.uk/efo/EFO_0000589
Renal overload gout	gout	http://www.ebi.ac.uk/efo/EFO_0004274	Metabolic disorder	http://www.ebi.ac.uk/efo/EFO_0000589
Renal underexcretion gout	gout	http://www.ebi.ac.uk/efo/EFO_0004274	Metabolic disorder	http://www.ebi.ac.uk/efo/EFO_0000589
Response to allopurinol in gout (change in serum uric acid levels)	gout	http://www.ebi.ac.uk/efo/EFO_0004274	Metabolic disorder	http://www.ebi.ac.uk/efo/EFO_0000589
Serum uric acid levels in response to allopurinol in gout	gout	http://www.ebi.ac.uk/efo/EFO_0004274	Metabolic disorder	http://www.ebi.ac.uk/efo/EFO_0000589
Urate levels	gout	http://www.ebi.ac.uk/efo/EFO_0004274	Metabolic disorder	http://www.ebi.ac.uk/efo/EFO_0000589
Paraoxonase activity	arylesterase enzyme measurement	http://www.ebi.ac.uk/efo/EFO_0005126	Cardiovascular measurement	http://www.ebi.ac.uk/efo/EFO_0004298
Adolescent idiopathic scoliosis	scoliosis	http://www.ebi.ac.uk/efo/EFO_0004273	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Scoliosis	scoliosis	http://www.ebi.ac.uk/efo/EFO_0004273	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Scoliosis in Charcot-Marie-Tooth disease 1A	scoliosis	http://www.ebi.ac.uk/efo/EFO_0004273	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
PCA3 expression level	cancer biomarker measurement	http://www.ebi.ac.uk/efo/EFO_0005127	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Tumor biomarkers	cancer biomarker measurement	http://www.ebi.ac.uk/efo/EFO_0005127	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Schizoaffective disorder-bipolar type	Schizoaffective disorder-bipolar type	http://www.ebi.ac.uk/efo/EFO_0009965	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Waist-to-hip ratio adjusted for BMI	BMI-adjusted waist-hip ratio	http://www.ebi.ac.uk/efo/EFO_0007788	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist-to-hip ratio adjusted for BMI (additive genetic model)	BMI-adjusted waist-hip ratio	http://www.ebi.ac.uk/efo/EFO_0007788	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour)	BMI-adjusted waist-hip ratio	http://www.ebi.ac.uk/efo/EFO_0007788	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist-to-hip ratio adjusted for BMI (age <50)	BMI-adjusted waist-hip ratio	http://www.ebi.ac.uk/efo/EFO_0007788	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist-to-hip ratio adjusted for BMI (age >50)	BMI-adjusted waist-hip ratio	http://www.ebi.ac.uk/efo/EFO_0007788	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist-to-hip ratio adjusted for BMI (joint analysis for main effect and physical activity interaction)	BMI-adjusted waist-hip ratio	http://www.ebi.ac.uk/efo/EFO_0007788	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist-to-hip ratio adjusted for BMI (joint analysis main effects and smoking interaction)	BMI-adjusted waist-hip ratio	http://www.ebi.ac.uk/efo/EFO_0007788	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist-to-hip ratio adjusted for BMI (physical activity interaction)	BMI-adjusted waist-hip ratio	http://www.ebi.ac.uk/efo/EFO_0007788	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist-to-hip ratio adjusted for BMI (recessive genetic model)	BMI-adjusted waist-hip ratio	http://www.ebi.ac.uk/efo/EFO_0007788	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist-to-hip ratio adjusted for BMI (smoking interaction)	BMI-adjusted waist-hip ratio	http://www.ebi.ac.uk/efo/EFO_0007788	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist-to-hip ratio adjusted for BMI in active individuals	BMI-adjusted waist-hip ratio	http://www.ebi.ac.uk/efo/EFO_0007788	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist-to-hip ratio adjusted for BMI in inactive individuals	BMI-adjusted waist-hip ratio	http://www.ebi.ac.uk/efo/EFO_0007788	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist-to-hip ratio adjusted for BMI in non-smokers	BMI-adjusted waist-hip ratio	http://www.ebi.ac.uk/efo/EFO_0007788	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist-to-hip ratio adjusted for BMI in smokers	BMI-adjusted waist-hip ratio	http://www.ebi.ac.uk/efo/EFO_0007788	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist-to-hip ratio adjusted for BMI x age interaction	BMI-adjusted waist-hip ratio	http://www.ebi.ac.uk/efo/EFO_0007788	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist-to-hip ratio adjusted for BMI x sex interaction	BMI-adjusted waist-hip ratio	http://www.ebi.ac.uk/efo/EFO_0007788	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist-to-hip ratio adjusted for BMI x sex x age interaction	BMI-adjusted waist-hip ratio	http://www.ebi.ac.uk/efo/EFO_0007788	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist-to-hip ratio adjusted for BMI x sex x age interaction (4df test)	BMI-adjusted waist-hip ratio	http://www.ebi.ac.uk/efo/EFO_0007788	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Waist-to-hip ratio adjusted for body mass index	BMI-adjusted waist-hip ratio	http://www.ebi.ac.uk/efo/EFO_0007788	Body measurement	http://www.ebi.ac.uk/efo/EFO_0004324
Mosaic loss of chromosome Y	mosaic loss of chromosome Y measurement	http://www.ebi.ac.uk/efo/EFO_0007783	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Radioiodine-refractory disease in thyroid cancer	response to radioiodine	http://www.ebi.ac.uk/efo/EFO_0009962	Biological process	http://purl.obolibrary.org/obo/GO_0008150
Bipolar I disorder	bipolar I disorder	http://www.ebi.ac.uk/efo/EFO_0009963	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Low tan response	suntan	http://www.ebi.ac.uk/efo/EFO_0004279	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Skin pigmentation traits	suntan	http://www.ebi.ac.uk/efo/EFO_0004279	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Tanning	suntan	http://www.ebi.ac.uk/efo/EFO_0004279	Other trait	http://www.ebi.ac.uk/efo/EFO_0000001
Atypical femoral fracture in phosphonate treatment	atypical femoral fracture	http://www.ebi.ac.uk/efo/EFO_0009960	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Bisphosphonate-associated atypical femoral fracture	atypical femoral fracture	http://www.ebi.ac.uk/efo/EFO_0009960	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Bone mineral density (Ward's triangle area)	femoral neck bone mineral density	http://www.ebi.ac.uk/efo/EFO_0007785	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Bone mineral density (femoral neck)	femoral neck bone mineral density	http://www.ebi.ac.uk/efo/EFO_0007785	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Bone mineral density (femoral neck) in inflammatory bowel disease	femoral neck bone mineral density	http://www.ebi.ac.uk/efo/EFO_0007785	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Femoral neck bone geometry	femoral neck bone mineral density	http://www.ebi.ac.uk/efo/EFO_0007785	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Femoral neck bone mineral density	femoral neck bone mineral density	http://www.ebi.ac.uk/efo/EFO_0007785	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Femoral neck bone mineral density or breast cancer (pleiotropy)	femoral neck bone mineral density	http://www.ebi.ac.uk/efo/EFO_0007785	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Femoral neck bone mineral density or plasma lipids (pleiotropy)	femoral neck bone mineral density	http://www.ebi.ac.uk/efo/EFO_0007785	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Femoral neck bone mineral density or type 2 diabetes (pleiotropy)	femoral neck bone mineral density	http://www.ebi.ac.uk/efo/EFO_0007785	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Hip osteoarthritis or femoral neck bone mineral density	femoral neck bone mineral density	http://www.ebi.ac.uk/efo/EFO_0007785	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Knee osteoarthritis or femoral neck bone mineral density	femoral neck bone mineral density	http://www.ebi.ac.uk/efo/EFO_0007785	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Osteoarthritis or femoral neck bone mineral density	femoral neck bone mineral density	http://www.ebi.ac.uk/efo/EFO_0007785	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Pediatric bone mineral density (femoral neck)	femoral neck bone mineral density	http://www.ebi.ac.uk/efo/EFO_0007785	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Sudden cardiac arrest	sudden cardiac arrest	http://www.ebi.ac.uk/efo/EFO_0004278	Cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319
Homocysteine level response to multivitamin in cerebral infarction	brain infarction	http://www.ebi.ac.uk/efo/EFO_0004277	Cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319
Insulinogenic index	Insulinogenic index measurement	http://www.ebi.ac.uk/efo/EFO_0009961	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Moderate functional decline in sporadic amyotrophic lateral sclerosis	functional decline measurement	http://www.ebi.ac.uk/efo/EFO_0007784	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Rapid functional decline in sporadic amyotrophic lateral sclerosis	functional decline measurement	http://www.ebi.ac.uk/efo/EFO_0007784	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Anti-Epstein-Barr virus nuclear antigen (EBNA) IgG levels	Epstein Barr virus nuclear antigen 1 IgG measurement	http://www.ebi.ac.uk/efo/EFO_0007790	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Epstein Barr virus nuclear antigen 1 IgG levels	Epstein Barr virus nuclear antigen 1 IgG measurement	http://www.ebi.ac.uk/efo/EFO_0007790	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Epstein Barr virus nuclear antigen 1 IgG levels or multiple sclerosis	Epstein Barr virus nuclear antigen 1 IgG measurement	http://www.ebi.ac.uk/efo/EFO_0007790	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
antipsychotic drug dosage in schizophrenia or schizoaffective disorder	antipsychotic drug use measurement	http://www.ebi.ac.uk/efo/EFO_0007792	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Free thyroxine concentration	thyroxine measurement	http://www.ebi.ac.uk/efo/EFO_0005130	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Protein quantitative trait loci	thyroxine measurement	http://www.ebi.ac.uk/efo/EFO_0005130	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Thyroid hormone levels	thyroxine measurement	http://www.ebi.ac.uk/efo/EFO_0005130	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Thyroxine levels	thyroxine measurement	http://www.ebi.ac.uk/efo/EFO_0005130	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Triiodothyronine levels and thyroxine levels	thyroxine measurement	http://www.ebi.ac.uk/efo/EFO_0005130	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive)	rheumatoid factor seropositivity measurement	http://www.ebi.ac.uk/efo/EFO_0007791	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Rheumatoid factor seropositivity in rheumatoid arthritis	rheumatoid factor seropositivity measurement	http://www.ebi.ac.uk/efo/EFO_0007791	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Intracranial, abdominal aortic or thoracic aortic aneurysm (pleiotropy)	thoracic aortic aneurysm	http://www.ebi.ac.uk/efo/EFO_0004282	Cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319
Severe aortic features in Marfan syndrome	thoracic aortic aneurysm	http://www.ebi.ac.uk/efo/EFO_0004282	Cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319
Thoracic aortic aneurysms and dissections	thoracic aortic aneurysm	http://www.ebi.ac.uk/efo/EFO_0004282	Cardiovascular disease	http://www.ebi.ac.uk/efo/EFO_0000319
Alzheimer's disease (late onset)	late-onset Alzheimers disease	http://www.ebi.ac.uk/efo/EFO_1001870	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Late-onset Alzheimer's disease	late-onset Alzheimers disease	http://www.ebi.ac.uk/efo/EFO_1001870	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Tardive dyskinesia	movement disorder	http://www.ebi.ac.uk/efo/EFO_0004280	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Tardive dyskinesia in schizophrenia	movement disorder	http://www.ebi.ac.uk/efo/EFO_0004280	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Medication use (antimigraine preparations)	Antimigraine preparation use measurement	http://www.ebi.ac.uk/efo/EFO_0009939	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Meningococcal disease	meningococcal infection	http://www.ebi.ac.uk/efo/EFO_0004249	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Male infertility	male infertility	http://www.ebi.ac.uk/efo/EFO_0004248	Other disease	http://www.ebi.ac.uk/efo/EFO_0000408
Medication use (opioids)	Opioid use measurement	http://www.ebi.ac.uk/efo/EFO_0009937	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Staphylococcus aureus nasal carriage (intermittent)	intermittent Staphylococcus aureus carrier status	http://www.ebi.ac.uk/efo/EFO_0007758	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Medication use (anilides)	Anilide use measurement	http://www.ebi.ac.uk/efo/EFO_0009938	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Staphylococcus aureus nasal carriage (persistent)	persistent Staphylococcus aureus carrier status	http://www.ebi.ac.uk/efo/EFO_0007757	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Medication use (anti-inflammatory and antirheumatic products, non-steroids)	Non-steroidal anti-inflammatory and antirheumatic product use measurement	http://www.ebi.ac.uk/efo/EFO_0009935	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Medication use (drugs affecting bone structure and mineralization)	Drugs affecting bone structure and mineralization use measurement	http://www.ebi.ac.uk/efo/EFO_0009936	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Plasma omega-3 polyunsaturated fatty acid levels (alphalinolenic acid)	alpha-linolenic acid measurement	http://www.ebi.ac.uk/efo/EFO_0007759	Lipid or lipoprotein measurement	http://www.ebi.ac.uk/efo/EFO_0004529
Event free survival in diffuse large B-cell lymphoma treated with immunochemotherapy	response to immunochemotherapy	http://www.ebi.ac.uk/efo/EFO_0007754	Response to drug	http://purl.obolibrary.org/obo/GO_0042493
Ileal carcinoids	carcinoid tumor	http://www.ebi.ac.uk/efo/EFO_0004243	Cancer	http://www.ebi.ac.uk/efo/EFO_0000616
Medication use (thyroid preparations)	Thyroid preparation use measurement	http://www.ebi.ac.uk/efo/EFO_0009933	Other measurement	http://www.ebi.ac.uk/efo/EFO_0001444
Pemphigus foliaceus	pemphigus foliaceus	http://www.ebi.ac.uk/efo/EFO_0008601	Immune system disorder	http://www.ebi.ac.uk/efo/EFO_0000540
Anorexia nervosa or obsessive-compulsive disorder	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
Attention deficit hyperactivity disorder and obsessive compulsive disorder	obsessive-compulsive disorder	http://www.ebi.ac.uk/efo/EFO_0004242	Neurological disorder	http://www.ebi.ac.uk/efo/EFO_0000618
