STUDY ACCESSION,Cleaned_Ancestry,Cleaned_Ancestry_Size
GCST008676,Hispanic,6646
GCST008694,African,5022
GCST008694,Asian,808
GCST008694,European,13303
GCST008694,Hispanic,764
GCST008694,African,18489
GCST008694,Asian,3841
GCST008694,European,63740
GCST008694,Hispanic,5941
GCST008695,African,5022
GCST008695,Asian,808
GCST008695,European,13303
GCST008695,Hispanic,764
GCST008695,African,18489
GCST008695,Asian,3841
GCST008695,European,63740
GCST008695,Hispanic,5941
GCST008696,African,5022
GCST008696,Asian,808
GCST008696,European,13303
GCST008696,Hispanic,764
GCST008697,African,18489
GCST008697,Asian,3841
GCST008697,European,63740
GCST008697,Hispanic,5941
GCST008698,African,11735
GCST008698,Asian,1172
GCST008698,European,42899
GCST008698,Hispanic,2582
GCST008698,African,11777
GCST008698,Asian,3477
GCST008698,European,34148
GCST008698,Hispanic,4123
GCST008699,African,11735
GCST008699,Asian,1172
GCST008699,European,42899
GCST008699,Hispanic,2582
GCST008699,African,11777
GCST008699,Asian,3477
GCST008699,European,34148
GCST008699,Hispanic,4123
GCST008700,African,11735
GCST008700,Asian,1172
GCST008700,European,42899
GCST008700,Hispanic,2582
GCST008701,African,11777
GCST008701,Asian,3477
GCST008701,European,34148
GCST008701,Hispanic,4123
GCST008702,African,23508
GCST008702,Asian,4649
GCST008702,European,77047
GCST008702,Hispanic,6705
GCST008677,African,5120
GCST008677,Asian,2394
GCST008677,European,15129
GCST008677,Hispanic,747
GCST008677,African,18641
GCST008677,Asian,10777
GCST008677,European,75138
GCST008677,Hispanic,5873
GCST007556,European,18381
GCST007556,European,27969
GCST007553,European,18381
GCST007553,European,27969
GCST007555,European,18381
GCST007555,European,27969
GCST007554,European,18381
GCST007554,European,27969
GCST007587,European,19099
GCST007587,European,34194
GCST007587,European,24704
GCST007583,European,19099
GCST007583,European,34194
GCST007583,European,11709
GCST007591,European,19099
GCST007591,European,34194
GCST007591,European,11772
GCST007590,European,24704
GCST007589,European,24024
GCST007586,European,19099
GCST007586,European,34194
GCST007586,European,24024
GCST007582,European,19099
GCST007582,European,34194
GCST007582,European,11646
GCST007588,European,19099
GCST007588,European,34194
GCST007588,European,11757
GCST007585,European,19099
GCST007585,European,34194
GCST007585,European,11640
GCST007584,European,19099
GCST007584,European,34194
GCST007584,European,11694
GCST007387,European,345022
GCST007387,European,108357
GCST007388,European,129270
GCST007388,European,108357
GCST008240,European,77
GCST008240,European,355
GCST008242,European,212
GCST008242,European,611
GCST008241,European,49
GCST008241,European,383
GCST008243,European,287
GCST008243,European,536
GCST008244,European,1107
GCST008244,European,3748
GCST008247,European,548
GCST008247,European,4522
GCST008245,European,833
GCST008245,European,4022
GCST008246,European,401
GCST008246,European,4669
GCST007830,European,405
GCST007831,European,405
GCST007851,European,405
GCST007683,Croatian,629
GCST007683,Korkulan,510
GCST007682,Croatian,596
GCST007682,Korkulan,510
GCST007681,Croatian,626
GCST007681,Korkulan,509
GCST007686,European,2989
GCST007684,European,2989
GCST007685,European,2989
GCST007458,European,341427
GCST007459,European,377334
GCST007460,European,547219
GCST007474,European,1232091
GCST007461,European,941280
GCST007462,European,931815
GCST007463,European,403928
GCST007464,European,820192
GCST007468,European,1359002
GCST007472,European,1039210
GCST007444,European,251
GCST007444,European,5357
GCST007444,European,13957
GCST007444,European,746129
GCST007443,European,86
GCST007443,European,4280
GCST007443,European,13941
GCST007443,European,700740
GCST007382,Japanese,1338
GCST007383,Japanese,1338
GCST007384,Japanese,1338
GCST007386,Japanese,1338
GCST007385,Japanese,1338
GCST008234,European,355
GCST008234,European,6190
GCST008233,European,355
GCST008233,European,6190
GCST008232,European,355
GCST008232,European,6190
GCST008235,European,355
GCST008235,European,6190
GCST008236,European,6545
GCST008237,European,6545
GCST008238,European,6545
GCST008239,European,6545
GCST007036,Japanese,1855
GCST007036,Japanese,1719
GCST008167,African American,53
GCST008167,Asian,100
GCST008167,European,4175
GCST008167,Hispanic or Latin American,138
GCST008167,Native American,30
GCST008167,Pacific Islander,11
GCST008166,African American,53
GCST008166,Asian,100
GCST008166,European,4175
GCST008166,Hispanic or Latin American,138
GCST008166,Native American,30
GCST008166,Pacific Islander,11
GCST008168,African American,53
GCST008168,Asian,100
GCST008168,European,4175
GCST008168,Hispanic or Latin American,138
GCST008168,Native American,30
GCST008168,Pacific Islander,11
GCST007363,European,3344
GCST008107,European,244
GCST008107,European,901
GCST008107,African American,9
GCST008107,African American,46
GCST008555,European,193860
GCST008556,European,1359
GCST008556,European,10604
GCST008338,Sub Saharan African,6407
GCST008322,Sub Saharan African,1625
GCST008329,Sub Saharan African,1625
GCST008330,Sub Saharan African,1625
GCST008331,Sub Saharan African,1625
GCST008332,Sub Saharan African,1625
GCST008333,Sub Saharan African,1625
GCST008323,Sub Saharan African,1625
GCST008324,Sub Saharan African,1625
GCST008334,Sub Saharan African,1415
GCST008325,Sub Saharan African,1625
GCST008326,Sub Saharan African,1565
GCST008327,Sub Saharan African,1565
GCST008328,Sub Saharan African,1565
GCST008335,Sub Saharan African,1555
GCST008336,Sub Saharan African,1624
GCST008337,Sub Saharan African,6407
GCST008703,European,15269
GCST008704,European,15269
GCST008705,European,15269
GCST008707,European,15269
GCST008707,African American,405
GCST008707,Chinese,211
GCST008707,Malay,131
GCST008710,European,15269
GCST008710,African American,405
GCST008710,Chinese,211
GCST008710,Malay,131
GCST008711,European,15269
GCST008711,African American,405
GCST008711,Chinese,211
GCST008711,Malay,131
GCST008715,European,15269
GCST008717,European,15269
GCST008717,African American,405
GCST008717,Chinese,211
GCST008717,Malay,131
GCST008592,Hispanic or Latin American,11103
GCST008591,Hispanic or Latin American,11103
GCST008593,Hispanic or Latin American,11103
GCST008594,Hispanic or Latin American,11103
GCST008652,European,329546
GCST008653,European,338218
GCST008654,European,329546
GCST008654,European,338218
GCST008655,European,7675
GCST008656,European,5838
GCST008657,European,7675
GCST008657,European,5838
GCST008649,European,188825
GCST008650,European,220170
GCST008651,European,188825
GCST008651,European,220170
GCST008522,European,336448
GCST008524,European,85852
GCST008526,European,335909
GCST008529,European,336898
GCST008531,European,85852
GCST008528,European,85852
GCST008527,European,85852
GCST008525,European,85852
GCST008523,European,85852
GCST008521,European,85852
GCST008383,European,12
GCST008383,European,8438
GCST008384,European,25
GCST008384,European,10701
GCST008385,European,16
GCST008385,European,8438
GCST008386,European,43
GCST008386,European,10701
GCST008364,Han Chinese,171
GCST008364,Han Chinese,1404
GCST008365,Han Chinese,171
GCST008365,Han Chinese,2160
GCST008278,European,28954
GCST008279,European,28944
GCST008280,European,28936
GCST008282,European,29059
GCST008281,European,28900
GCST008271,European,9
GCST008271,European,53
GCST007997,European,493
GCST007997,European,537
GCST008260,European,6692
GCST007881,European,720
GCST007881,European,6490
GCST008058,European,567460
GCST008058,East Asian,165726
GCST008058,African American,13842
GCST008058,South Asian,13359
GCST008058,Hispanic,4961
GCST008059,European,567460
GCST008060,East Asian,165726
GCST008061,South Asian,13359
GCST008062,European,416178
GCST008063,European,243029
GCST008064,European,64164
GCST008064,European,561055
GCST008065,European,64164
GCST008065,European,561055
GCST008066,African American,13842
GCST008118,European,1622
GCST008118,European,8786
GCST008123,European,1622
GCST008123,European,8786
GCST008123,European,3264
GCST008123,European,5500
GCST008123,European,1683
GCST008123,European,2946
GCST008119,European,3264
GCST008119,European,5500
GCST008120,European,1683
GCST008120,European,2946
GCST008121,European,1622
GCST008121,European,8786
GCST008121,European,3264
GCST008121,European,5500
GCST008122,European,3264
GCST008122,European,5500
GCST008122,European,1683
GCST008122,European,2946
GCST007725,Japanese,121745
GCST007733,Japanese,121745
GCST007733,European,88461
GCST008468,European,1106
GCST008468,European,8571
GCST008471,European,235
GCST008469,European,235
GCST008467,European,1075
GCST008466,European,1075
GCST008470,European,1106
GCST008470,European,8571
GCST008140,Korean,1211
GCST008140,Korean,639
GCST008150,Korean,4659
GCST008141,Korean,4659
GCST008142,Korean,4659
GCST008143,Korean,4659
GCST008144,Korean,4659
GCST008145,Korean,4659
GCST008146,Korean,2857
GCST008604,Icelandic,139555
GCST008605,Icelandic,6109
GCST008605,Icelandic,135512
GCST008606,Icelandic,4748
GCST008606,Icelandic,135512
GCST008607,Icelandic,41130
GCST008607,Icelandic,95568
GCST008608,Icelandic,21803
GCST008608,Icelandic,95568
GCST008609,Icelandic,19327
GCST008609,Icelandic,95568
GCST008610,Icelandic,54009
GCST008610,Icelandic,91538
GCST008611,Icelandic,25317
GCST008611,Icelandic,91538
GCST008612,Icelandic,28692
GCST008612,Icelandic,91538
GCST008613,Icelandic,68051
GCST008613,Icelandic,68903
GCST008617,Icelandic,49212
GCST008617,Icelandic,68903
GCST008618,Icelandic,18839
GCST008618,Icelandic,68903
GCST008616,Icelandic,149899
GCST008615,Icelandic,35897
GCST008615,Icelandic,112302
GCST008619,Icelandic,13322
GCST008619,Icelandic,66528
GCST008614,Icelandic,10857
GCST008614,Icelandic,135512
GCST008262,Korean,12680
GCST008263,Korean,12680
GCST008264,Korean,12680
GCST008265,Korean,12680
GCST008261,Korean,12680
GCST008266,Korean,12680
GCST008267,Korean,12680
GCST007862,African American,441
GCST007861,Hispanic American,883
GCST007859,Hispanic American,883
GCST007859,African American,441
GCST007860,Hispanic American,883
GCST007860,African American,441
GCST007865,Hispanic American,883
GCST007865,African American,441
GCST007864,Hispanic American,883
GCST007864,African American,441
GCST007863,Hispanic American,883
GCST007863,African American,441
GCST008446,European,4723
GCST008446,African American,1527
GCST008447,European,4723
GCST008447,African American,1527
GCST008070,European,89893
GCST008070,African American,20989
GCST008070,Asian,12450
GCST008086,European,56505
GCST008086,African American,9870
GCST008086,Asian,2491
GCST008086,Hispanic,2528
GCST008085,European,56505
GCST008085,African American,9870
GCST008085,Asian,2491
GCST008085,Hispanic,2528
GCST008087,European,56505
GCST008087,African American,9870
GCST008087,Asian,2491
GCST008087,Hispanic,2528
GCST008084,European,56505
GCST008084,African American,9870
GCST008084,Asian,2491
GCST008084,Hispanic,2528
GCST008084,European,33388
GCST008084,African American,11119
GCST008084,Asian,9959
GCST008084,Hispanic,1466
GCST008083,European,56505
GCST008083,African American,9870
GCST008083,Asian,2491
GCST008083,Hispanic,2528
GCST008083,European,33388
GCST008083,African American,11119
GCST008083,Asian,9959
GCST008083,Hispanic,1466
GCST008082,European,56505
GCST008082,African American,9870
GCST008082,Asian,2491
GCST008082,Hispanic,2528
GCST008082,European,33388
GCST008082,African American,11119
GCST008082,Asian,9959
GCST008082,Hispanic,1466
GCST008081,European,56505
GCST008081,African American,9870
GCST008081,Asian,2491
GCST008081,Hispanic,2528
GCST008081,European,33388
GCST008081,African American,11119
GCST008081,Asian,9959
GCST008081,Hispanic,1466
GCST008080,European,56505
GCST008080,African American,9870
GCST008080,Asian,2491
GCST008080,Hispanic,2528
GCST008080,European,33388
GCST008080,African American,11119
GCST008080,Asian,9959
GCST008080,Hispanic,1466
GCST008079,European,56505
GCST008079,African American,9870
GCST008079,Asian,2491
GCST008079,Hispanic,2528
GCST008079,European,33388
GCST008079,African American,11119
GCST008079,Asian,9959
GCST008079,Hispanic,1466
GCST008078,European,44831
GCST008078,African American,3976
GCST008078,Asian,1288
GCST008078,Hispanic,827
GCST008078,European,11674
GCST008078,African American,5894
GCST008078,Asian,1203
GCST008078,Hispanic,1701
GCST008077,European,89893
GCST008077,African American,20989
GCST008077,Asian,12450
GCST008076,European,89893
GCST008076,African American,20989
GCST008076,Asian,12450
GCST008075,European,44831
GCST008075,African American,3976
GCST008075,Asian,1288
GCST008075,Hispanic,827
GCST008075,European,11674
GCST008075,African American,5894
GCST008075,Asian,1203
GCST008075,Hispanic,1701
GCST008074,European,44831
GCST008074,African American,3976
GCST008074,Asian,1288
GCST008074,Hispanic,827
GCST008074,European,11674
GCST008074,African American,5894
GCST008074,Asian,1203
GCST008074,Hispanic,1701
GCST008073,European,44831
GCST008073,African American,3976
GCST008073,Asian,1288
GCST008073,Hispanic,827
GCST008073,European,11674
GCST008073,African American,5894
GCST008073,Asian,1203
GCST008073,Hispanic,1701
GCST008072,European,44831
GCST008072,African American,3976
GCST008072,Asian,1288
GCST008072,Hispanic,827
GCST008072,European,11674
GCST008072,African American,5894
GCST008072,Asian,1203
GCST008072,Hispanic,1701
GCST008071,European,44831
GCST008071,African American,3976
GCST008071,Asian,1288
GCST008071,Hispanic,827
GCST008071,European,11674
GCST008071,African American,5894
GCST008071,Asian,1203
GCST008071,Hispanic,1701
GCST007988,European,651923
GCST007988,European,679087
GCST007987,European,386577
GCST007983,European,434835
GCST007982,European,384317
GCST007986,European,385949
GCST007984,European,386548
GCST007985,European,359916
GCST007484,European,288492
GCST007484,African American,15687
GCST007484,South Asian,29315
GCST007484,East Asian,6800
GCST007484,Hispanic,4075
GCST007487,European,288492
GCST007483,European,288492
GCST007483,African American,15687
GCST007483,South Asian,29315
GCST007483,East Asian,6800
GCST007483,Hispanic,4075
GCST007491,European,288492
GCST007494,European,130976
GCST007496,European,130976
GCST007502,European,157516
GCST007503,European,157516
GCST007293,British,55006
GCST007293,British,61132
GCST007295,British,55006
GCST007295,British,61132
GCST007294,British,55006
GCST007294,British,61132
GCST007825,European,54162
GCST007825,European,58047
GCST007826,European,54162
GCST007826,European,51750
GCST007827,European,54162
GCST007827,European,60812
GCST007452,Latin American,6236
GCST007457,Latin American,6236
GCST007453,Latin American,6236
GCST007454,Latin American,6236
GCST007455,Latin American,6236
GCST007456,Latin American,6236
GCST007451,Latin American,6236
GCST007497,European,662
GCST007498,European,1360
GCST007499,European,562
GCST007499,European,701
GCST007287,Han Chinese,1764
GCST007287,Han Chinese,14779
GCST007288,Han Chinese,1764
GCST007288,Han Chinese,14779
GCST007689,Indian,1036
GCST007701,Indian,1036
GCST007702,Indian,1036
GCST007688,Indian,1036
GCST007801,European,85449
GCST007802,European,84441
GCST007803,European,84810
GCST007804,European,84810
GCST007805,European,85205
GCST007806,European,85670
GCST007807,European,84810
GCST007808,European,84757
GCST007818,European,3928
GCST007817,European,3928
GCST007823,European,1792
GCST007822,European,2062
GCST007821,European,1792
GCST007820,European,2062
GCST007819,European,3921
GCST007337,European,80852
GCST007338,European,410603
GCST007339,European,523783
GCST007340,European,1067913
GCST007341,European,2083151
GCST007324,European,557923
GCST007329,European,404291
GCST007328,European,414343
GCST007327,European,518633
GCST007326,European,370711
GCST007325,European,975353
GCST007323,European,315894
GCST007322,European,939908
GCST007402,European,24075
GCST007402,African American,3420
GCST007401,European,20014
GCST007401,African American,3420
GCST006985,Latina,2385
GCST006985,Latina,6416
GCST008025,African American,17127
GCST008025,Hispanic/Latino,21955
GCST008025,Asian,4647
GCST008025,Native Hawaiian,3936
GCST008025,Native American,645
GCST008026,African American,1533
GCST008026,Hispanic/Latino,1339
GCST008026,Asian,575
GCST008026,Native Hawaiian,608
GCST008026,Native American,42
GCST008026,African American,13989
GCST008026,Hispanic/Latino,19581
GCST008026,Asian,3549
GCST008026,Native Hawaiian,2892
GCST008026,Native American,597
GCST008027,African American,7171
GCST008027,Hispanic/Latino,4198
GCST008027,Asian,1918
GCST008027,Native Hawaiian,2176
GCST008027,Native American,288
GCST008028,African American,11862
GCST008028,Hispanic/Latino,15837
GCST008028,Asian,3764
GCST008028,Native Hawaiian,3857
GCST008028,Native American,582
GCST008029,African American,11380
GCST008029,Hispanic/Latino,21549
GCST008029,Asian,1086
GCST008029,Native American,636
GCST008030,African American,8261
GCST008030,Hispanic/Latino,18548
GCST008030,Asian,150
GCST008030,Native American,602
GCST008031,African American,326
GCST008031,Hispanic/Latino,208
GCST008031,Asian,24
GCST008031,Native Hawaiian,21
GCST008031,Native American,1
GCST008031,African American,8739
GCST008031,Hispanic/Latino,16197
GCST008031,Asian,3576
GCST008031,Native Hawaiian,2925
GCST008031,Native American,52
GCST008032,African American,6457
GCST008032,Hispanic/Latino,13556
GCST008032,Asian,1918
GCST008032,Native Hawaiian,1400
GCST008032,Native American,412
GCST008033,African American,5525
GCST008033,Hispanic/Latino,12687
GCST008033,Asian,1547
GCST008033,Native Hawaiian,1397
GCST008033,Native American,395
GCST008034,African American,559
GCST008034,Hispanic/Latino,10408
GCST008034,Asian,92
GCST008034,Native American,4
GCST008035,African American,10085
GCST008035,Hispanic/Latino,17751
GCST008035,Asian,2378
GCST008035,Native Hawaiian,1912
GCST008035,Native American,604
GCST008036,African American,11863
GCST008036,Hispanic/Latino,8663
GCST008036,Asian,3102
GCST008036,Native Hawaiian,2645
GCST008036,Native American,342
GCST008036,African American,5289
GCST008036,Hispanic/Latino,13273
GCST008036,Asian,1561
GCST008036,Native Hawaiian,1060
GCST008036,Native American,293
GCST008037,African American,9720
GCST008037,Hispanic/Latino,17373
GCST008037,Asian,2316
GCST008037,Native Hawaiian,1900
GCST008037,Native American,591
GCST008038,African American,3750
GCST008038,Hispanic/Latino,15522
GCST008038,Asian,128
GCST008038,Native American,20
GCST008039,African American,8850
GCST008039,Hispanic/Latino,18949
GCST008039,Asian,541
GCST008039,Native American,603
GCST008042,African American,3360
GCST008042,Hispanic/Latino,13702
GCST008042,Asian,129
GCST008042,Native American,231
GCST008043,African American,3293
GCST008043,Hispanic/Latino,13698
GCST008043,Asian,127
GCST008043,Native American,230
GCST008044,African American,11380
GCST008044,Hispanic/Latino,21549
GCST008044,Asian,1086
GCST008044,Native American,636
GCST008045,African American,10137
GCST008045,Hispanic/Latino,17802
GCST008045,Asian,2387
GCST008045,Native Hawaiian,1915
GCST008045,Native American,604
GCST008046,African American,9980
GCST008046,Hispanic/Latino,17856
GCST008046,Asian,2381
GCST008046,Native Hawaiian,1915
GCST008046,Native American,604
GCST008048,African American,5971
GCST008048,Hispanic/Latino,4135
GCST008048,Asian,2004
GCST008048,Native Hawaiian,1534
GCST008048,Native American,167
GCST008048,African American,9630
GCST008048,Hispanic/Latino,16345
GCST008048,Asian,2572
GCST008048,Native Hawaiian,2017
GCST008048,Native American,452
GCST008049,African American,8825
GCST008049,Hispanic/Latino,18251
GCST008049,Asian,543
GCST008049,Native American,606
GCST008050,African American,9140
GCST008050,Hispanic/Latino,11555
GCST008050,Asian,1843
GCST008050,Native Hawaiian,1715
GCST008050,Native American,585
GCST008051,African American,1146
GCST008051,Hispanic/Latino,4917
GCST008051,Asian,1657
GCST008051,Native Hawaiian,1346
GCST008052,African American,10286
GCST008052,Hispanic/Latino,16472
GCST008052,Asian,3500
GCST008052,Native Hawaiian,3061
GCST008052,Native American,585
GCST008053,African American,17286
GCST008053,Hispanic/Latino,22192
GCST008053,Asian,4680
GCST008053,Native Hawaiian,3939
GCST008053,Native American,647
GCST008040,European,303288
GCST008041,European,253288
GCST008041,African American,17286
GCST008041,Hispanic/Latino,22192
GCST008041,Asian,4680
GCST008041,Native Hawaiian,3939
GCST008041,Native American,647
GCST008054,African American,3274
GCST008054,Hispanic/Latino,13420
GCST008054,Asian,126
GCST008054,Native American,226
GCST008055,African American,8349
GCST008055,Hispanic/Latino,15912
GCST008055,Asian,1811
GCST008055,Native Hawaiian,1777
GCST008055,Native American,574
GCST008302,European,14976
GCST008302,Hispanic/Latino,11816
GCST008299,European,14717
GCST008299,Hispanic/Latino,11816
GCST008300,European and Hispanic/Latino,17353
GCST008300,European and Hispanic/Latino,28210
GCST008300,Japanese,1680
GCST008300,Japanese,15670
GCST008301,European,60210
GCST008301,European,400821
GCST008303,European,13311
GCST008303,European,447720
GCST008306,European,77714
GCST008306,European,383317
GCST008305,European,18959
GCST008305,European,442072
GCST008304,European,47091
GCST008304,European,413940
GCST008298,European,16133
GCST008297,European,18979
GCST008297,European,442052
GCST008296,European and Hispanic/Latino,17353
GCST008296,European,18979
GCST008296,European,470262
GCST008403,European,127121
GCST008513,English,1771
GCST008513,English,4012
GCST008435,Korean,1760
GCST008435,Korean,5107
GCST008106,European,161
GCST008106,European,152
GCST008424,European,2120
GCST008424,European,1944
