	STUDY ACCESSION	DISEASE/TRAIT	Disease trait	Parent term
1097	GCST008673	Cardiometabolic traits	Cardiometabolic traits	Lipid or lipoprotein measurement
1098	GCST008484	Autistic traits score (Social and Communication Disorders Checklist)	Autistic traits score (Social and Communication Disorders Checklist)	Other measurement
1099	GCST008269	Exacerbation frequency in mepolizumab-treated chronic obstructive pulmonary disease	Exacerbation frequency in mepolizumab-treated chronic obstructive pulmonary disease	Other disease
1100	GCST008269	Exacerbation frequency in mepolizumab-treated chronic obstructive pulmonary disease	Exacerbation frequency in mepolizumab-treated chronic obstructive pulmonary disease	Response to drug
1101	GCST008269	Exacerbation frequency in mepolizumab-treated chronic obstructive pulmonary disease	Exacerbation frequency in mepolizumab-treated chronic obstructive pulmonary disease	Other measurement
1102	GCST008268	Frequency of exacerbations requiring hospitalisation in mepolizumab-treated chronic obstructive pulmonary disease	Frequency of exacerbations requiring hospitalisation in mepolizumab-treated chronic obstructive pulmonary disease	Other disease
1103	GCST008268	Frequency of exacerbations requiring hospitalisation in mepolizumab-treated chronic obstructive pulmonary disease	Frequency of exacerbations requiring hospitalisation in mepolizumab-treated chronic obstructive pulmonary disease	Response to drug
1104	GCST008268	Frequency of exacerbations requiring hospitalisation in mepolizumab-treated chronic obstructive pulmonary disease	Frequency of exacerbations requiring hospitalisation in mepolizumab-treated chronic obstructive pulmonary disease	Other measurement
1105	GCST008368	Plasma anti-thyroid peroxidase levels	Plasma anti-thyroid peroxidase levels	Other measurement
1106	GCST008367	Plasma anti-thyroglobulin and anti-thyroid peroxidase levels (bivariate analysis)	Plasma anti-thyroglobulin and anti-thyroid peroxidase levels (bivariate analysis)	Other measurement
1107	GCST008367	Plasma anti-thyroglobulin and anti-thyroid peroxidase levels (bivariate analysis)	Plasma anti-thyroglobulin and anti-thyroid peroxidase levels (bivariate analysis)	Other measurement
1108	GCST008369	Plasma anti-thyroglobulin levels	Plasma anti-thyroglobulin levels	Other measurement
1109	GCST008789	Adolescent idiopathic scoliosis	Adolescent idiopathic scoliosis	Other disease
1110	GCST008789	Adolescent idiopathic scoliosis	Adolescent idiopathic scoliosis	Other disease
1111	GCST008788	Adolescent idiopathic scoliosis	Adolescent idiopathic scoliosis	Other disease
1112	GCST008788	Adolescent idiopathic scoliosis	Adolescent idiopathic scoliosis	Other disease
1113	GCST008272	Post-bronchodilator FEV1 x air pollution (CO) interaction in childhood asthma	Post-bronchodilator FEV1 x air pollution (CO) interaction in childhood asthma	Other measurement
1114	GCST008272	Post-bronchodilator FEV1 x air pollution (CO) interaction in childhood asthma	Post-bronchodilator FEV1 x air pollution (CO) interaction in childhood asthma	Other disease
1115	GCST008272	Post-bronchodilator FEV1 x air pollution (CO) interaction in childhood asthma	Post-bronchodilator FEV1 x air pollution (CO) interaction in childhood asthma	Other measurement
1116	GCST008273	Post-bronchodilator FEV1 x air pollution (NO2) interaction in childhood asthma	Post-bronchodilator FEV1 x air pollution (NO2) interaction in childhood asthma	Other measurement
1117	GCST008273	Post-bronchodilator FEV1 x air pollution (NO2) interaction in childhood asthma	Post-bronchodilator FEV1 x air pollution (NO2) interaction in childhood asthma	Other disease
1118	GCST008273	Post-bronchodilator FEV1 x air pollution (NO2) interaction in childhood asthma	Post-bronchodilator FEV1 x air pollution (NO2) interaction in childhood asthma	Other measurement
1119	GCST008548	Fagerstrӧm test for nicotine dependence	Fagerstrӧm test for nicotine dependence	Other measurement
1120	GCST008547	Time to smoke first cigarette in the morning	Time to smoke first cigarette in the morning	Other measurement
1121	GCST008435	Response to hepatitis B vaccine	Response to hepatitis B vaccine	Response to drug
1122	GCST008435	Response to hepatitis B vaccine	Response to hepatitis B vaccine	Other measurement
1123	GCST008231	Prostate cancer	Prostate cancer	Cancer
1124	GCST008755	Phenylephrine infusion rate during anesthesia	Phenylephrine infusion rate during anesthesia	Response to drug
1125	GCST007690	Metabolic coherence (transcriptomic)	Metabolic coherence (transcriptomic)	Other measurement
1126	GCST007690	Metabolic coherence (transcriptomic)	Metabolic coherence (transcriptomic)	Other measurement
1127	GCST008721	Chronic lymphocytic leukemia or multiple sclerosis	Chronic lymphocytic leukemia or multiple sclerosis	Immune system disorder
1128	GCST008721	Chronic lymphocytic leukemia or multiple sclerosis	Chronic lymphocytic leukemia or multiple sclerosis	Cancer
1129	GCST008722	Diffuse large B-cell lymphoma or multiple sclerosis	Diffuse large B-cell lymphoma or multiple sclerosis	Immune system disorder
1130	GCST008722	Diffuse large B-cell lymphoma or multiple sclerosis	Diffuse large B-cell lymphoma or multiple sclerosis	Cancer
1131	GCST008718	Follicular lymphoma or multiple sclerosis	Follicular lymphoma or multiple sclerosis	Immune system disorder
1132	GCST008723	Marginal zone lymphoma or multiple sclerosis	Marginal zone lymphoma or multiple sclerosis	Immune system disorder
1133	GCST008723	Marginal zone lymphoma or multiple sclerosis	Marginal zone lymphoma or multiple sclerosis	Cancer
1134	GCST008724	Chronic lymphocytic leukemia or rheumatoid arthritis	Chronic lymphocytic leukemia or rheumatoid arthritis	Immune system disorder
1135	GCST008724	Chronic lymphocytic leukemia or rheumatoid arthritis	Chronic lymphocytic leukemia or rheumatoid arthritis	Cancer
1136	GCST008725	Diffuse large B-cell lymphoma or rheumatoid arthritis	Diffuse large B-cell lymphoma or rheumatoid arthritis	Immune system disorder
1137	GCST008725	Diffuse large B-cell lymphoma or rheumatoid arthritis	Diffuse large B-cell lymphoma or rheumatoid arthritis	Cancer
1138	GCST008719	Follicular lymphoma or rheumatoid arthritis	Follicular lymphoma or rheumatoid arthritis	Immune system disorder
1139	GCST008726	Marginal zone lymphoma or rheumatoid arthritis	Marginal zone lymphoma or rheumatoid arthritis	Immune system disorder
1140	GCST008726	Marginal zone lymphoma or rheumatoid arthritis	Marginal zone lymphoma or rheumatoid arthritis	Cancer
1141	GCST008727	Chronic lymphocytic leukemia or systemic lupus erythematosus	Chronic lymphocytic leukemia or systemic lupus erythematosus	Immune system disorder
1142	GCST008727	Chronic lymphocytic leukemia or systemic lupus erythematosus	Chronic lymphocytic leukemia or systemic lupus erythematosus	Cancer
1143	GCST008728	Diffuse large B-cell lymphoma or systemic lupus erythematosus	Diffuse large B-cell lymphoma or systemic lupus erythematosus	Immune system disorder
1144	GCST008728	Diffuse large B-cell lymphoma or systemic lupus erythematosus	Diffuse large B-cell lymphoma or systemic lupus erythematosus	Cancer
1145	GCST008720	Follicular lymphoma or systemic lupus erythematosus	Follicular lymphoma or systemic lupus erythematosus	Immune system disorder
1146	GCST008729	Marginal zone lymphoma or systemic lupus erythematosus	Marginal zone lymphoma or systemic lupus erythematosus	Cancer
1147	GCST008729	Marginal zone lymphoma or systemic lupus erythematosus	Marginal zone lymphoma or systemic lupus erythematosus	Immune system disorder
1148	GCST008881	Estradiol levels	Estradiol levels	Other measurement
1149	GCST008882	Cortisol levels (plasma)	Cortisol levels (plasma)	Other measurement
1150	GCST008883	DHEAS levels	DHEAS levels	Other measurement
1151	GCST008884	Testosterone levels	Testosterone levels	Other measurement
1152	GCST008884	Testosterone levels	Testosterone levels	Other measurement
1153	GCST008885	Progesterone levels	Progesterone levels	Other measurement
1154	GCST008879	17-hydroxyprogesterone (17-OHP) levels	17-hydroxyprogesterone (17-OHP) levels	Other measurement
1155	GCST008886	Androstenedione levels	Androstenedione levels	Other measurement
1156	GCST008880	Aldosterone levels	Aldosterone levels	Other measurement
1157	GCST008733	Waist-to-hip ratio adjusted for BMI	Waist-to-hip ratio adjusted for BMI	Body measurement
1158	GCST008734	Waist-hip ratio	Waist-hip ratio	Other measurement
1159	GCST008734	Waist-hip ratio	Waist-hip ratio	Body measurement
1160	GCST008234	Cognitive impairment and C-reactive protein levels (pleiotropy)	Cognitive impairment and C-reactive protein levels (pleiotropy)	Other trait
1161	GCST008234	Cognitive impairment and C-reactive protein levels (pleiotropy)	Cognitive impairment and C-reactive protein levels (pleiotropy)	Inflammatory measurement
1162	GCST008233	Cognitive impairment and LDL levels (pleiotropy)	Cognitive impairment and LDL levels (pleiotropy)	Lipid or lipoprotein measurement
1163	GCST008233	Cognitive impairment and LDL levels (pleiotropy)	Cognitive impairment and LDL levels (pleiotropy)	Other trait
1164	GCST008232	Cognitive impairment and total cholesterol levels (pleiotropy)	Cognitive impairment and total cholesterol levels (pleiotropy)	Lipid or lipoprotein measurement
1165	GCST008232	Cognitive impairment and total cholesterol levels (pleiotropy)	Cognitive impairment and total cholesterol levels (pleiotropy)	Other trait
1166	GCST008235	Cognitive impairment	Cognitive impairment	Other trait
1167	GCST008236	C-reactive protein levels	C-reactive protein levels	Inflammatory measurement
1168	GCST008237	High density lipoprotein cholesterol levels	High density lipoprotein cholesterol levels	Lipid or lipoprotein measurement
1169	GCST008238	Low density lipoprotein cholesterol levels	Low density lipoprotein cholesterol levels	Lipid or lipoprotein measurement
1170	GCST008239	Serum total cholesterol levels	Serum total cholesterol levels	Lipid or lipoprotein measurement
1171	GCST008101	Pulmonary function (FEV1) x omega-3 PUFA (docosapentaenoic acid) interaction (2df)	Pulmonary function (FEV1) x omega-3 PUFA (docosapentaenoic acid) interaction (2df)	Other measurement
1172	GCST008101	Pulmonary function (FEV1) x omega-3 PUFA (docosapentaenoic acid) interaction (2df)	Pulmonary function (FEV1) x omega-3 PUFA (docosapentaenoic acid) interaction (2df)	Lipid or lipoprotein measurement
1173	GCST008100	Pulmonary function (FVC) x omega-3 PUFA (docosapentaenoic acid) interaction (2df)	Pulmonary function (FVC) x omega-3 PUFA (docosapentaenoic acid) interaction (2df)	Other measurement
1174	GCST008100	Pulmonary function (FVC) x omega-3 PUFA (docosapentaenoic acid) interaction (2df)	Pulmonary function (FVC) x omega-3 PUFA (docosapentaenoic acid) interaction (2df)	Lipid or lipoprotein measurement
1175	GCST008099	Pulmonary function (FVC) x omega-3 PUFA (docosahexaenoic acid) interaction (2df)	Pulmonary function (FVC) x omega-3 PUFA (docosahexaenoic acid) interaction (2df)	Other measurement
1176	GCST008099	Pulmonary function (FVC) x omega-3 PUFA (docosahexaenoic acid) interaction (2df)	Pulmonary function (FVC) x omega-3 PUFA (docosahexaenoic acid) interaction (2df)	Lipid or lipoprotein measurement
1177	GCST008102	Pulmonary function (FEV1) x omega-3 PUFA (docosahexaenoic acid) interaction (2df)	Pulmonary function (FEV1) x omega-3 PUFA (docosahexaenoic acid) interaction (2df)	Other measurement
1178	GCST008102	Pulmonary function (FEV1) x omega-3 PUFA (docosahexaenoic acid) interaction (2df)	Pulmonary function (FEV1) x omega-3 PUFA (docosahexaenoic acid) interaction (2df)	Lipid or lipoprotein measurement
1179	GCST008271	Anti-adalimumab antibody production in response to treatment in Crohn's disease	Anti-adalimumab antibody production in response to treatment in Crohn's disease	Digestive system disorder
1180	GCST008271	Anti-adalimumab antibody production in response to treatment in Crohn's disease	Anti-adalimumab antibody production in response to treatment in Crohn's disease	Response to drug
1181	GCST007991	Large artery stroke	Large artery stroke	Cardiovascular disease
1182	GCST008106	Candidemia	Candidemia	Other disease
1183	GCST008491	Whole-brain volume	Whole-brain volume	Other measurement
1184	GCST008905	Bipolar disorder	Bipolar disorder	Neurological disorder
1185	GCST008906	Schizophrenia	Schizophrenia	Neurological disorder
1186	GCST007415	Breast cancer (estrogen-receptor positive)	Breast cancer (estrogen-receptor positive)	Cancer
1187	GCST007416	Breast cancer (estrogen-receptor negative)	Breast cancer (estrogen-receptor negative)	Cancer
1188	GCST007416	Breast cancer (estrogen-receptor negative)	Breast cancer (estrogen-receptor negative)	Cancer
1189	GCST007420	Breast cancer (progesterone-receptor positive)	Breast cancer (progesterone-receptor positive)	Cancer
1190	GCST007417	Breast cancer (progesterone-receptor negative)	Breast cancer (progesterone-receptor negative)	Cancer
1191	GCST007419	Breast cancer (HER2 positive)	Breast cancer (HER2 positive)	Cancer
1192	GCST007418	Breast cancer (HER2 negative)	Breast cancer (HER2 negative)	Cancer
1193	GCST007414	Breast cancer	Breast cancer	Cancer
1194	GCST008899	Adult hearing difficulty	Adult hearing difficulty	Neurological disorder
1195	GCST008898	Adult hearing aid use	Adult hearing aid use	Neurological disorder
1196	GCST008895	Psychotic experience	Psychotic experience	Other trait
1197	GCST008897	Psychotic experience (multiple occurrences)	Psychotic experience (multiple occurrences)	Other trait
1198	GCST008896	Psychotic experience (distressing)	Psychotic experience (distressing)	Other trait
1199	GCST008474	Peripheral artery disease	Peripheral artery disease	Cardiovascular disease
1200	GCST008475	Minimum ankle–brachial index	Minimum ankle–brachial index	Cardiovascular measurement
1201	GCST008423	Uterine fibroids	Uterine fibroids	Cancer
1202	GCST008771	Age at suicide	Age at suicide	Other measurement
1203	GCST008772	Suicide	Suicide	Biological process
1204	GCST008115	Bipolar I disorder	Bipolar I disorder	Neurological disorder
1205	GCST008115	Bipolar I disorder	Bipolar I disorder	Neurological disorder
1206	GCST008116	Bipolar II disorder	Bipolar II disorder	Neurological disorder
1207	GCST008117	Schizoaffective disorder-bipolar type	Schizoaffective disorder-bipolar type	Neurological disorder
1208	GCST008103	Bipolar disorder	Bipolar disorder	Neurological disorder
1209	GCST007515	Type 2 diabetes	Type 2 diabetes	Metabolic disorder
1210	GCST007517	Type 2 diabetes	Type 2 diabetes	Metabolic disorder
1211	GCST007516	Type 2 diabetes (adjusted for BMI)	Type 2 diabetes (adjusted for BMI)	Metabolic disorder
1212	GCST007518	Type 2 diabetes (adjusted for BMI)	Type 2 diabetes (adjusted for BMI)	Metabolic disorder
1213	GCST007387	Insomnia symptoms (never/rarely vs. sometimes/usually)	Insomnia symptoms (never/rarely vs. sometimes/usually)	Other measurement
1214	GCST007388	Insomnia symptoms (never/rarely vs. usually)	Insomnia symptoms (never/rarely vs. usually)	Other measurement
1215	GCST008517	Response to interferon treatment in hepatitis C virus genotype 3	Response to interferon treatment in hepatitis C virus genotype 3	Response to drug
1216	GCST008517	Response to interferon treatment in hepatitis C virus genotype 3	Response to interferon treatment in hepatitis C virus genotype 3	Digestive system disorder
1217	GCST008520	Response to direct-acting antiviral treatment in hepatitis C virus genotype 3	Response to direct-acting antiviral treatment in hepatitis C virus genotype 3	Response to drug
1218	GCST008520	Response to direct-acting antiviral treatment in hepatitis C virus genotype 3	Response to direct-acting antiviral treatment in hepatitis C virus genotype 3	Digestive system disorder
1219	GCST008515	Pre-treatment viral load in hepatitis C virus genotype 3	Pre-treatment viral load in hepatitis C virus genotype 3	Other measurement
1220	GCST008515	Pre-treatment viral load in hepatitis C virus genotype 3	Pre-treatment viral load in hepatitis C virus genotype 3	Digestive system disorder
1221	GCST008754	Spontaneous preterm birth (preterm birth)	Spontaneous preterm birth (preterm birth)	Other measurement
1222	GCST008754	Spontaneous preterm birth (preterm birth)	Spontaneous preterm birth (preterm birth)	Other trait
1223	GCST008753	Early spontaneous preterm birth	Early spontaneous preterm birth	Other trait
1224	GCST008752	Post-term birth	Post-term birth	Other measurement
1225	GCST008752	Post-term birth	Post-term birth	Other measurement
1226	GCST008751	Gestational age at birth (child effect)	Gestational age at birth (child effect)	Other measurement
1227	GCST008751	Gestational age at birth (child effect)	Gestational age at birth (child effect)	Other measurement
1228	GCST008674	Glycemic traits (pleiotropy)	Glycemic traits (pleiotropy)	Other measurement
1229	GCST008674	Glycemic traits (pleiotropy)	Glycemic traits (pleiotropy)	Other measurement
1230	GCST008674	Glycemic traits (pleiotropy)	Glycemic traits (pleiotropy)	Other measurement
1231	GCST008659	Lung function in heavy smokers (low FEV1 vs high FEV1)	Lung function in heavy smokers (low FEV1 vs high FEV1)	Other measurement
1232	GCST008659	Lung function in heavy smokers (low FEV1 vs high FEV1)	Lung function in heavy smokers (low FEV1 vs high FEV1)	Other measurement
1233	GCST008660	Lung function in never smokers (high FEV1 vs average FEV1)	Lung function in never smokers (high FEV1 vs average FEV1)	Other measurement
1234	GCST008660	Lung function in never smokers (high FEV1 vs average FEV1)	Lung function in never smokers (high FEV1 vs average FEV1)	Other measurement
1235	GCST008661	Lung function in heavy smokers (high FEV1 vs average FEV1)	Lung function in heavy smokers (high FEV1 vs average FEV1)	Other measurement
1236	GCST008661	Lung function in heavy smokers (high FEV1 vs average FEV1)	Lung function in heavy smokers (high FEV1 vs average FEV1)	Other measurement
1237	GCST008663	Lung function in never smokers (low FEV1 vs average FEV1)	Lung function in never smokers (low FEV1 vs average FEV1)	Other measurement
1238	GCST008663	Lung function in never smokers (low FEV1 vs average FEV1)	Lung function in never smokers (low FEV1 vs average FEV1)	Other measurement
1239	GCST008665	Lung function in heavy smokers (low FEV1 vs average FEV1)	Lung function in heavy smokers (low FEV1 vs average FEV1)	Other measurement
1240	GCST008665	Lung function in heavy smokers (low FEV1 vs average FEV1)	Lung function in heavy smokers (low FEV1 vs average FEV1)	Other measurement
1241	GCST008667	Smoking status (heavy vs never)	Smoking status (heavy vs never)	Other measurement
1242	GCST008666	Lung function (low FEV1 vs high FEV1) x smoking interaction	Lung function (low FEV1 vs high FEV1) x smoking interaction	Other measurement
1243	GCST008666	Lung function (low FEV1 vs high FEV1) x smoking interaction	Lung function (low FEV1 vs high FEV1) x smoking interaction	Other measurement
1244	GCST008664	Lung function (low FEV1 vs high FEV1)	Lung function (low FEV1 vs high FEV1)	Other measurement
1245	GCST008662	Lung function in never smokers (low FEV1 vs high FEV1)	Lung function in never smokers (low FEV1 vs high FEV1)	Other measurement
1246	GCST008662	Lung function in never smokers (low FEV1 vs high FEV1)	Lung function in never smokers (low FEV1 vs high FEV1)	Other measurement
1247	GCST007727	Acute lymphoblastic leukemia (childhood)	Acute lymphoblastic leukemia (childhood)	Cancer
1248	GCST007226	PR interval	PR interval	Cardiovascular measurement
1249	GCST007227	QRS duration	QRS duration	Cardiovascular measurement
1250	GCST007227	QRS duration	QRS duration	Cardiovascular measurement
1251	GCST007227	QRS duration	QRS duration	Cardiovascular measurement
1252	GCST007218	QT interval	QT interval	Cardiovascular measurement
1253	GCST007217	RR interval (heart rate)	RR interval (heart rate)	Cardiovascular measurement
1254	GCST007497	Crohn's disease (time to progression)	Crohn's disease (time to progression)	Digestive system disorder
1255	GCST007497	Crohn's disease (time to progression)	Crohn's disease (time to progression)	Other measurement
1256	GCST007498	Crohn's disease (time to first abdominal surgery)	Crohn's disease (time to first abdominal surgery)	Digestive system disorder
1257	GCST007498	Crohn's disease (time to first abdominal surgery)	Crohn's disease (time to first abdominal surgery)	Other measurement
1258	GCST007499	Crohn's disease (indolent vs progressive)	Crohn's disease (indolent vs progressive)	Digestive system disorder
1259	GCST007499	Crohn's disease (indolent vs progressive)	Crohn's disease (indolent vs progressive)	Other measurement
1260	GCST007999	Heart rate in heart failure with reduced ejection fraction	Heart rate in heart failure with reduced ejection fraction	Other trait
1261	GCST007999	Heart rate in heart failure with reduced ejection fraction	Heart rate in heart failure with reduced ejection fraction	Cardiovascular measurement
1262	GCST007999	Heart rate in heart failure with reduced ejection fraction	Heart rate in heart failure with reduced ejection fraction	Cardiovascular disease
1263	GCST008482	Lung function (FVC)	Lung function (FVC)	Other measurement
1264	GCST008481	Lung function (FEV1/FVC)	Lung function (FEV1/FVC)	Other measurement
1265	GCST008480	Lung function (FEV1)	Lung function (FEV1)	Other measurement
1266	GCST007689	Low density lipoprotein cholesterol levels	Low density lipoprotein cholesterol levels	Lipid or lipoprotein measurement
1267	GCST007701	High density lipoprotein cholesterol levels	High density lipoprotein cholesterol levels	Lipid or lipoprotein measurement
1268	GCST007702	Triglyceride levels	Triglyceride levels	Lipid or lipoprotein measurement
1269	GCST007688	Total cholesterol levels	Total cholesterol levels	Lipid or lipoprotein measurement
1270	GCST008262	Psychological wellbeing index 1 (lack of subjective wellbeing and health)	Psychological wellbeing index 1 (lack of subjective wellbeing and health)	Other measurement
1271	GCST008263	Psychological wellbeing index 3 (fatigue and loss of appetite)	Psychological wellbeing index 3 (fatigue and loss of appetite)	Other measurement
1272	GCST008264	Psychological wellbeing index 12 (lack of enjoying daily life)	Psychological wellbeing index 12 (lack of enjoying daily life)	Other measurement
1273	GCST008265	Psychological wellbeing (social role performance and self-confidence)	Psychological wellbeing (social role performance and self-confidence)	Other measurement
1274	GCST008261	Psychological wellbeing (depressiveness)	Psychological wellbeing (depressiveness)	Other measurement
1275	GCST008266	Psychological wellbeing (health and vitality)	Psychological wellbeing (health and vitality)	Other measurement
1276	GCST008267	Psychological wellbeing index (total score)	Psychological wellbeing index (total score)	Other measurement
1277	GCST007731	Postoperative survival time in hepatocellular carcinoma	Postoperative survival time in hepatocellular carcinoma	Other measurement
1278	GCST007731	Postoperative survival time in hepatocellular carcinoma	Postoperative survival time in hepatocellular carcinoma	Cancer
1279	GCST007686	Plasma norclozapine levels in treatment-resistant schizophrenia	Plasma norclozapine levels in treatment-resistant schizophrenia	Response to drug
1280	GCST007686	Plasma norclozapine levels in treatment-resistant schizophrenia	Plasma norclozapine levels in treatment-resistant schizophrenia	Neurological disorder
1281	GCST007684	Plasma clozapine-norclozapine ratio in treatment-resistant schizophrenia	Plasma clozapine-norclozapine ratio in treatment-resistant schizophrenia	Response to drug
1282	GCST007684	Plasma clozapine-norclozapine ratio in treatment-resistant schizophrenia	Plasma clozapine-norclozapine ratio in treatment-resistant schizophrenia	Neurological disorder
1283	GCST007685	Plasma clozapine levels in treatment-resistant schizophrenia	Plasma clozapine levels in treatment-resistant schizophrenia	Response to drug
1284	GCST007685	Plasma clozapine levels in treatment-resistant schizophrenia	Plasma clozapine levels in treatment-resistant schizophrenia	Neurological disorder
1285	GCST007833	Urolithiasis	Urolithiasis	Other disease
1286	GCST008488	Early progression to active pulmonary tuberculosis in Mycobacterium tuberculosis-infected individuals	Early progression to active pulmonary tuberculosis in Mycobacterium tuberculosis-infected individuals	Other disease
1287	GCST008488	Early progression to active pulmonary tuberculosis in Mycobacterium tuberculosis-infected individuals	Early progression to active pulmonary tuberculosis in Mycobacterium tuberculosis-infected individuals	Other measurement
1288	GCST007064	Body fat percentage	Body fat percentage	Body measurement
1289	GCST007063	Fat-free mass	Fat-free mass	Other measurement
1290	GCST007692	Chronic obstructive pulmonary disease	Chronic obstructive pulmonary disease	Other disease
1291	GCST007744	Hyperglycemia	Hyperglycemia	Other measurement
1292	GCST007745	Hyperglycemia in obesity	Hyperglycemia in obesity	Metabolic disorder
1293	GCST007745	Hyperglycemia in obesity	Hyperglycemia in obesity	Other measurement
1294	GCST007746	Hyperglycemia in non-obese individuals	Hyperglycemia in non-obese individuals	Other measurement
1295	GCST007747	Hyperglycemia in lower physical activity	Hyperglycemia in lower physical activity	Other measurement
1296	GCST007747	Hyperglycemia in lower physical activity	Hyperglycemia in lower physical activity	Other measurement
1297	GCST007748	Hyperglycemia in higher physical activity	Hyperglycemia in higher physical activity	Other measurement
1298	GCST007748	Hyperglycemia in higher physical activity	Hyperglycemia in higher physical activity	Other measurement
1299	GCST007749	Hyperglycemia in more-fat diet	Hyperglycemia in more-fat diet	Lipid or lipoprotein measurement
1300	GCST007749	Hyperglycemia in more-fat diet	Hyperglycemia in more-fat diet	Other measurement
1301	GCST007750	Hyperglycemia in less-fat diet	Hyperglycemia in less-fat diet	Lipid or lipoprotein measurement
1302	GCST007750	Hyperglycemia in less-fat diet	Hyperglycemia in less-fat diet	Other measurement
1303	GCST007751	Homeostasis model assessment of insulin resistance in obesity	Homeostasis model assessment of insulin resistance in obesity	Metabolic disorder
1304	GCST007751	Homeostasis model assessment of insulin resistance in obesity	Homeostasis model assessment of insulin resistance in obesity	Other trait
1305	GCST007752	Homeostasis model assessment of insulin resistance in non-obese individuals	Homeostasis model assessment of insulin resistance in non-obese individuals	Other trait
1306	GCST007753	Homeostasis model assessment of insulin resistance in higher physical activity	Homeostasis model assessment of insulin resistance in higher physical activity	Other measurement
1307	GCST007753	Homeostasis model assessment of insulin resistance in higher physical activity	Homeostasis model assessment of insulin resistance in higher physical activity	Other trait
1308	GCST007754	Homeostasis model assessment of insulin resistance in lower physical activity	Homeostasis model assessment of insulin resistance in lower physical activity	Other measurement
1309	GCST007754	Homeostasis model assessment of insulin resistance in lower physical activity	Homeostasis model assessment of insulin resistance in lower physical activity	Other trait
1310	GCST007755	Homeostasis model assessment of insulin resistance in more-fat diet	Homeostasis model assessment of insulin resistance in more-fat diet	Lipid or lipoprotein measurement
1311	GCST007755	Homeostasis model assessment of insulin resistance in more-fat diet	Homeostasis model assessment of insulin resistance in more-fat diet	Other trait
1312	GCST007756	Homeostasis model assessment of insulin resistance in less-fat diet	Homeostasis model assessment of insulin resistance in less-fat diet	Lipid or lipoprotein measurement
1313	GCST007756	Homeostasis model assessment of insulin resistance in less-fat diet	Homeostasis model assessment of insulin resistance in less-fat diet	Other trait
1314	GCST007757	Hyperglycemia x BMI interaction	Hyperglycemia x BMI interaction	Body measurement
1315	GCST007757	Hyperglycemia x BMI interaction	Hyperglycemia x BMI interaction	Other measurement
1316	GCST007758	Hyperglycemia x physical activity interaction	Hyperglycemia x physical activity interaction	Other measurement
1317	GCST007758	Hyperglycemia x physical activity interaction	Hyperglycemia x physical activity interaction	Other measurement
1318	GCST007759	Hyperglycemia x saturated fatty acids interaction	Hyperglycemia x saturated fatty acids interaction	Lipid or lipoprotein measurement
1319	GCST007759	Hyperglycemia x saturated fatty acids interaction	Hyperglycemia x saturated fatty acids interaction	Other measurement
1320	GCST007760	Hyperinsulinemia	Hyperinsulinemia	Other measurement
1321	GCST007761	Homeostasis model assessment of insulin resistance	Homeostasis model assessment of insulin resistance	Other measurement
1322	GCST007761	Homeostasis model assessment of insulin resistance	Homeostasis model assessment of insulin resistance	Other trait
1323	GCST007762	Hyperinsulinemia x BMI interaction	Hyperinsulinemia x BMI interaction	Body measurement
1324	GCST007762	Hyperinsulinemia x BMI interaction	Hyperinsulinemia x BMI interaction	Other measurement
1325	GCST007763	Homeostasis model assessment of insulin resistance x BMI interaction	Homeostasis model assessment of insulin resistance x BMI interaction	Body measurement
1326	GCST007763	Homeostasis model assessment of insulin resistance x BMI interaction	Homeostasis model assessment of insulin resistance x BMI interaction	Other trait
1327	GCST007764	Hyperinsulinemia x physical activity interaction	Hyperinsulinemia x physical activity interaction	Other measurement
1328	GCST007764	Hyperinsulinemia x physical activity interaction	Hyperinsulinemia x physical activity interaction	Other measurement
1329	GCST007765	Homeostasis model assessment of insulin resistance x physical activity interaction	Homeostasis model assessment of insulin resistance x physical activity interaction	Other measurement
1330	GCST007765	Homeostasis model assessment of insulin resistance x physical activity interaction	Homeostasis model assessment of insulin resistance x physical activity interaction	Other trait
1331	GCST007766	Hyperinsulinemia x saturated fatty acids interaction	Hyperinsulinemia x saturated fatty acids interaction	Lipid or lipoprotein measurement
1332	GCST007766	Hyperinsulinemia x saturated fatty acids interaction	Hyperinsulinemia x saturated fatty acids interaction	Other measurement
1333	GCST007767	Homeostasis model assessment of insulin resistance x saturated fatty acids interaction	Homeostasis model assessment of insulin resistance x saturated fatty acids interaction	Lipid or lipoprotein measurement
1334	GCST007767	Homeostasis model assessment of insulin resistance x saturated fatty acids interaction	Homeostasis model assessment of insulin resistance x saturated fatty acids interaction	Other trait
1335	GCST007768	Hyperinsulinemia in obesity	Hyperinsulinemia in obesity	Metabolic disorder
1336	GCST007768	Hyperinsulinemia in obesity	Hyperinsulinemia in obesity	Other measurement
1337	GCST007769	Hyperinsulinemia in non-obese individuals	Hyperinsulinemia in non-obese individuals	Other measurement
1338	GCST007770	Hyperinsulinemia in higher physical activity	Hyperinsulinemia in higher physical activity	Other measurement
1339	GCST007770	Hyperinsulinemia in higher physical activity	Hyperinsulinemia in higher physical activity	Other measurement
1340	GCST007771	Hyperinsulinemia in lower physical activity	Hyperinsulinemia in lower physical activity	Other measurement
1341	GCST007771	Hyperinsulinemia in lower physical activity	Hyperinsulinemia in lower physical activity	Other measurement
