	STUDY ACCESSION	DISEASE/TRAIT	Disease trait	Parent term
5430	GCST003929	Urinary electrolytes (magnesium/calcium ratio)	Urinary electrolytes (magnesium/calcium ratio)	Other measurement
5431	GCST003452	Posterior cortical atrophy and Alzheimer's disease	Posterior cortical atrophy and Alzheimer's disease	Neurological disorder
5432	GCST003452	Posterior cortical atrophy and Alzheimer's disease	Posterior cortical atrophy and Alzheimer's disease	Neurological disorder
5433	GCST003667	Depressive symptoms measurement (somatic complaints domain)	Depressive symptoms measurement (somatic complaints domain)	Other measurement
5434	GCST003669	Depressive symptoms measurement (lack of negative affect domain)	Depressive symptoms measurement (lack of negative affect domain)	Other measurement
5435	GCST003668	Depressive symptoms measurement (lack of positive affect domain)	Depressive symptoms measurement (lack of positive affect domain)	Other measurement
5436	GCST003447	Neuroticism	Neuroticism	Neurological disorder
5437	GCST003447	Neuroticism	Neuroticism	Other measurement
5438	GCST003857	Oral cavity and pharyngeal cancer	Oral cavity and pharyngeal cancer	Cancer
5439	GCST003857	Oral cavity and pharyngeal cancer	Oral cavity and pharyngeal cancer	Cancer
5440	GCST003857	Oral cavity and pharyngeal cancer	Oral cavity and pharyngeal cancer	Cancer
5441	GCST003859	Oropharynx cancer	Oropharynx cancer	Cancer
5442	GCST003858	Oral cavity cancer	Oral cavity cancer	Cancer
5443	GCST003436	Endometrial cancer	Endometrial cancer	Cancer
5444	GCST003436	Endometrial cancer	Endometrial cancer	Cancer
5445	GCST004123	Mathematical ability	Mathematical ability	Biological process
5446	GCST003588	Cancer (pleiotropy)	Cancer (pleiotropy)	Cancer
5447	GCST003588	Cancer (pleiotropy)	Cancer (pleiotropy)	Cancer
5448	GCST003588	Cancer (pleiotropy)	Cancer (pleiotropy)	Cancer
5449	GCST003588	Cancer (pleiotropy)	Cancer (pleiotropy)	Cancer
5450	GCST003588	Cancer (pleiotropy)	Cancer (pleiotropy)	Cancer
5451	GCST003588	Cancer (pleiotropy)	Cancer (pleiotropy)	Cancer
5452	GCST003588	Cancer (pleiotropy)	Cancer (pleiotropy)	Cancer
5453	GCST003588	Cancer (pleiotropy)	Cancer (pleiotropy)	Cancer
5454	GCST003588	Cancer (pleiotropy)	Cancer (pleiotropy)	Cancer
5455	GCST003588	Cancer (pleiotropy)	Cancer (pleiotropy)	Cancer
5456	GCST003588	Cancer (pleiotropy)	Cancer (pleiotropy)	Cancer
5457	GCST003587	Cancer	Cancer	Cancer
5458	GCST003587	Cancer	Cancer	Cancer
5459	GCST003587	Cancer	Cancer	Cancer
5460	GCST003587	Cancer	Cancer	Cancer
5461	GCST003587	Cancer	Cancer	Cancer
5462	GCST003587	Cancer	Cancer	Cancer
5463	GCST003587	Cancer	Cancer	Cancer
5464	GCST003587	Cancer	Cancer	Cancer
5465	GCST003587	Cancer	Cancer	Cancer
5466	GCST003587	Cancer	Cancer	Cancer
5467	GCST003587	Cancer	Cancer	Cancer
5468	GCST004002	Bipolar disorder (age of onset <21) or attention deficit hyperactivity disorder	Bipolar disorder (age of onset <21) or attention deficit hyperactivity disorder	Neurological disorder
5469	GCST004002	Bipolar disorder (age of onset <21) or attention deficit hyperactivity disorder	Bipolar disorder (age of onset <21) or attention deficit hyperactivity disorder	Neurological disorder
5470	GCST004001	Bipolar disorder or attention deficit hyperactivity disorder	Bipolar disorder or attention deficit hyperactivity disorder	Neurological disorder
5471	GCST004001	Bipolar disorder or attention deficit hyperactivity disorder	Bipolar disorder or attention deficit hyperactivity disorder	Neurological disorder
5472	GCST003424	Arthritis (juvenile idiopathic)	Arthritis (juvenile idiopathic)	Immune system disorder
5473	GCST003446	Glaucoma (primary open-angle)	Glaucoma (primary open-angle)	Neurological disorder
5474	GCST003134	Cerebrospinal fluid clusterin levels	Cerebrospinal fluid clusterin levels	Lipid or lipoprotein measurement
5475	GCST003133	Plasma clusterin levels	Plasma clusterin levels	Lipid or lipoprotein measurement
5476	GCST003137	Cerebrospinal fluid clusterin levels in APOEe4- carriers	Cerebrospinal fluid clusterin levels in APOEe4- carriers	Neurological disorder
5477	GCST003137	Cerebrospinal fluid clusterin levels in APOEe4- carriers	Cerebrospinal fluid clusterin levels in APOEe4- carriers	Lipid or lipoprotein measurement
5478	GCST003131	Cerebrospinal fluid clusterin levels in APOEe4+ carriers	Cerebrospinal fluid clusterin levels in APOEe4+ carriers	Other measurement
5479	GCST003131	Cerebrospinal fluid clusterin levels in APOEe4+ carriers	Cerebrospinal fluid clusterin levels in APOEe4+ carriers	Lipid or lipoprotein measurement
5480	GCST003251	Late-onset myasthenia gravis	Late-onset myasthenia gravis	Neurological disorder
5481	GCST003232	Response to Pazopanib in cancer (hepatotoxicity)	Response to Pazopanib in cancer (hepatotoxicity)	Liver enzyme measurement
5482	GCST003232	Response to Pazopanib in cancer (hepatotoxicity)	Response to Pazopanib in cancer (hepatotoxicity)	Response to drug
5483	GCST003232	Response to Pazopanib in cancer (hepatotoxicity)	Response to Pazopanib in cancer (hepatotoxicity)	Cancer
5484	GCST003183	Setpoint viral load in HIV-1 infection	Setpoint viral load in HIV-1 infection	Other measurement
5485	GCST003183	Setpoint viral load in HIV-1 infection	Setpoint viral load in HIV-1 infection	Other disease
5486	GCST003177	Childhood body mass index	Childhood body mass index	Body measurement
5487	GCST003319	Major depressive disorder (stressful life events interaction)	Major depressive disorder (stressful life events interaction)	Other trait
5488	GCST003319	Major depressive disorder (stressful life events interaction)	Major depressive disorder (stressful life events interaction)	Other measurement
5489	GCST003319	Major depressive disorder (stressful life events interaction)	Major depressive disorder (stressful life events interaction)	Neurological disorder
5490	GCST003193	Response to interferon beta in multiple sclerosis	Response to interferon beta in multiple sclerosis	Immune system disorder
5491	GCST003193	Response to interferon beta in multiple sclerosis	Response to interferon beta in multiple sclerosis	Response to drug
5492	GCST003087	Body mass index variance	Body mass index variance	Body measurement
5493	GCST003527	Anti-thyroid drug induced agranulocytosis	Anti-thyroid drug induced agranulocytosis	Response to drug
5494	GCST003527	Anti-thyroid drug induced agranulocytosis	Anti-thyroid drug induced agranulocytosis	Other trait
5495	GCST003526	Non-chemotherapy drug induced agranulocytosis	Non-chemotherapy drug induced agranulocytosis	Other trait
5496	GCST003526	Non-chemotherapy drug induced agranulocytosis	Non-chemotherapy drug induced agranulocytosis	Biological process
5497	GCST003565	Cervical cancer	Cervical cancer	Cancer
5498	GCST003465	Cannabis dependence symptom count	Cannabis dependence symptom count	Other measurement
5499	GCST005879	Collagenous colitis	Collagenous colitis	Immune system disorder
5500	GCST003661	Triglycerides	Triglycerides	Lipid or lipoprotein measurement
5501	GCST003662	LDL cholesterol	LDL cholesterol	Lipid or lipoprotein measurement
5502	GCST003662	LDL cholesterol	LDL cholesterol	Other measurement
5503	GCST003662	LDL cholesterol	LDL cholesterol	Lipid or lipoprotein measurement
5504	GCST003663	Cholesterol, total	Cholesterol, total	Lipid or lipoprotein measurement
5505	GCST003660	HDL cholesterol	HDL cholesterol	Lipid or lipoprotein measurement
5506	GCST003805	Diastolic blood pressure response to hydrochlorothiazide in hypertension	Diastolic blood pressure response to hydrochlorothiazide in hypertension	Other measurement
5507	GCST003805	Diastolic blood pressure response to hydrochlorothiazide in hypertension	Diastolic blood pressure response to hydrochlorothiazide in hypertension	Response to drug
5508	GCST003805	Diastolic blood pressure response to hydrochlorothiazide in hypertension	Diastolic blood pressure response to hydrochlorothiazide in hypertension	Cardiovascular disease
5509	GCST003807	Systolic blood pressure response to hydrochlorothiazide in hypertension	Systolic blood pressure response to hydrochlorothiazide in hypertension	Other measurement
5510	GCST003807	Systolic blood pressure response to hydrochlorothiazide in hypertension	Systolic blood pressure response to hydrochlorothiazide in hypertension	Response to drug
5511	GCST003807	Systolic blood pressure response to hydrochlorothiazide in hypertension	Systolic blood pressure response to hydrochlorothiazide in hypertension	Cardiovascular disease
5512	GCST003633	middle facial morphology traits (ordinal measurement)	middle facial morphology traits (ordinal measurement)	Other measurement
5513	GCST003633	middle facial morphology traits (ordinal measurement)	middle facial morphology traits (ordinal measurement)	Other measurement
5514	GCST003634	lower facial morphology traits (ordinal measurement)	lower facial morphology traits (ordinal measurement)	Other measurement
5515	GCST003634	lower facial morphology traits (ordinal measurement)	lower facial morphology traits (ordinal measurement)	Other measurement
5516	GCST003635	middle facial morphology traits (quantitative measurement)	middle facial morphology traits (quantitative measurement)	Other measurement
5517	GCST003636	lower facial morphology traits (quantitative measurement)	lower facial morphology traits (quantitative measurement)	Other measurement
5518	GCST003636	lower facial morphology traits (quantitative measurement)	lower facial morphology traits (quantitative measurement)	Other measurement
5519	GCST003637	facial morphology traits (multivariate analysis)	facial morphology traits (multivariate analysis)	Other measurement
5520	GCST003638	upper facial morphology traits (ordinal measurement)	upper facial morphology traits (ordinal measurement)	Other measurement
5521	GCST003396	Developmental language disorder	Developmental language disorder	Neurological disorder
5522	GCST003397	Developmental language disorder (linguistic errors)	Developmental language disorder (linguistic errors)	Other measurement
5523	GCST003397	Developmental language disorder (linguistic errors)	Developmental language disorder (linguistic errors)	Neurological disorder
5524	GCST003398	Developmental language disorder (syntactic complexity)	Developmental language disorder (syntactic complexity)	Other measurement
5525	GCST003398	Developmental language disorder (syntactic complexity)	Developmental language disorder (syntactic complexity)	Neurological disorder
5526	GCST003456	Adverse response to dabrafenib or dabrafenib-trametinib treatment in melanoma (pyrexia)	Adverse response to dabrafenib or dabrafenib-trametinib treatment in melanoma (pyrexia)	Other trait
5527	GCST003456	Adverse response to dabrafenib or dabrafenib-trametinib treatment in melanoma (pyrexia)	Adverse response to dabrafenib or dabrafenib-trametinib treatment in melanoma (pyrexia)	Response to drug
5528	GCST003456	Adverse response to dabrafenib or dabrafenib-trametinib treatment in melanoma (pyrexia)	Adverse response to dabrafenib or dabrafenib-trametinib treatment in melanoma (pyrexia)	Response to drug
5529	GCST003456	Adverse response to dabrafenib or dabrafenib-trametinib treatment in melanoma (pyrexia)	Adverse response to dabrafenib or dabrafenib-trametinib treatment in melanoma (pyrexia)	Cancer
5530	GCST003878	Heroin dependence	Heroin dependence	Neurological disorder
5531	GCST003437	Discordance in emotional problems in monozygotic twins	Discordance in emotional problems in monozygotic twins	Other measurement
5532	GCST003974	Tonsillectomy	Tonsillectomy	Other measurement
5533	GCST003438	Bortezomib-induced peripheral neuropathy in multiple myeloma	Bortezomib-induced peripheral neuropathy in multiple myeloma	Response to drug
5534	GCST003438	Bortezomib-induced peripheral neuropathy in multiple myeloma	Bortezomib-induced peripheral neuropathy in multiple myeloma	Neurological disorder
5535	GCST003438	Bortezomib-induced peripheral neuropathy in multiple myeloma	Bortezomib-induced peripheral neuropathy in multiple myeloma	Cancer
5536	GCST003879	Serum parathyroid hormone levels	Serum parathyroid hormone levels	Other measurement
5537	GCST003900	Cluster headache	Cluster headache	Other measurement
5538	GCST003900	Cluster headache	Cluster headache	Other trait
5539	GCST006258	Diastolic blood pressure	Diastolic blood pressure	Other measurement
5540	GCST006258	Diastolic blood pressure	Diastolic blood pressure	Other measurement
5541	GCST006259	Systolic blood pressure	Systolic blood pressure	Other measurement
5542	GCST006259	Systolic blood pressure	Systolic blood pressure	Other measurement
5543	GCST003796	Number of children ever born	Number of children ever born	Other measurement
5544	GCST003795	Age at first birth	Age at first birth	Other measurement
5545	GCST006046	Number of children ever born	Number of children ever born	Other measurement
5546	GCST006047	Number of children ever born	Number of children ever born	Other measurement
5547	GCST006044	Age at first birth	Age at first birth	Other measurement
5548	GCST006045	Age at first birth	Age at first birth	Other measurement
5549	GCST003925	Gout	Gout	Metabolic disorder
5550	GCST003926	Renal underexcretion gout	Renal underexcretion gout	Metabolic disorder
5551	GCST003924	Renal overload gout	Renal overload gout	Metabolic disorder
5552	GCST003143	Lung disease severity in cystic fibrosis	Lung disease severity in cystic fibrosis	Other disease
5553	GCST003143	Lung disease severity in cystic fibrosis	Lung disease severity in cystic fibrosis	Other measurement
5554	GCST003143	Lung disease severity in cystic fibrosis	Lung disease severity in cystic fibrosis	Other disease
5555	GCST003145	Severe malaria	Severe malaria	Digestive system disorder
5556	GCST003148	Prostate cancer	Prostate cancer	Cancer
5557	GCST003114	Carotid intima media thickness	Carotid intima media thickness	Other measurement
5558	GCST003114	Carotid intima media thickness	Carotid intima media thickness	Cardiovascular measurement
5559	GCST003114	Carotid intima media thickness	Carotid intima media thickness	Cardiovascular disease
5560	GCST003147	Plasma lactate levels	Plasma lactate levels	Other measurement
5561	GCST002961	Acylcarnitine levels	Acylcarnitine levels	Other measurement
5562	GCST002961	Acylcarnitine levels	Acylcarnitine levels	Other measurement
5563	GCST002966	Amino acid levels	Amino acid levels	Other measurement
5564	GCST002966	Amino acid levels	Amino acid levels	Other measurement
5565	GCST002965	Glycerophospholipid levels	Glycerophospholipid levels	Other measurement
5566	GCST002965	Glycerophospholipid levels	Glycerophospholipid levels	Lipid or lipoprotein measurement
5567	GCST002964	Sphingolipid levels	Sphingolipid levels	Other measurement
5568	GCST002964	Sphingolipid levels	Sphingolipid levels	Lipid or lipoprotein measurement
5569	GCST002959	Hexose levels	Hexose levels	Other measurement
5570	GCST002959	Hexose levels	Hexose levels	Other measurement
5571	GCST003144	Polycystic ovary syndrome	Polycystic ovary syndrome	Other disease
5572	GCST003151	White matter lesion progression	White matter lesion progression	Other measurement
5573	GCST003152	White matter lesion progression (adjusted for white matter lesion burden at baseline)	White matter lesion progression (adjusted for white matter lesion burden at baseline)	Other measurement
5574	GCST003113	Cingulate cortical amyloid beta load	Cingulate cortical amyloid beta load	Other measurement
5575	GCST003113	Cingulate cortical amyloid beta load	Cingulate cortical amyloid beta load	Other measurement
5576	GCST003018	Thionamide-induced agranulocytosis in Graves' disease	Thionamide-induced agranulocytosis in Graves' disease	Immune system disorder
5577	GCST003018	Thionamide-induced agranulocytosis in Graves' disease	Thionamide-induced agranulocytosis in Graves' disease	Response to drug
5578	GCST003018	Thionamide-induced agranulocytosis in Graves' disease	Thionamide-induced agranulocytosis in Graves' disease	Other trait
5579	GCST003378	Response to lithium treatment in bipolar disorder	Response to lithium treatment in bipolar disorder	Response to drug
5580	GCST003378	Response to lithium treatment in bipolar disorder	Response to lithium treatment in bipolar disorder	Neurological disorder
5581	GCST002989	LDL peak particle diameter (total fat intake interaction)	LDL peak particle diameter (total fat intake interaction)	Lipid or lipoprotein measurement
5582	GCST002989	LDL peak particle diameter (total fat intake interaction)	LDL peak particle diameter (total fat intake interaction)	Other measurement
5583	GCST003157	Plasma homocysteine levels	Plasma homocysteine levels	Cardiovascular measurement
5584	GCST003382	Cannabis use	Cannabis use	Biological process
5585	GCST003176	Asthma	Asthma	Other disease
5586	GCST003640	Thyroid-associated orbitopathy in graves' disease	Thyroid-associated orbitopathy in graves' disease	Neurological disorder
5587	GCST003640	Thyroid-associated orbitopathy in graves' disease	Thyroid-associated orbitopathy in graves' disease	Immune system disorder
5588	GCST003483	S-phenylmercapturic acid levels in smokers	S-phenylmercapturic acid levels in smokers	Biological process
5589	GCST003483	S-phenylmercapturic acid levels in smokers	S-phenylmercapturic acid levels in smokers	Other measurement
5590	GCST003399	Cognitive impairment (brain beta-amyloid deposition interaction)	Cognitive impairment (brain beta-amyloid deposition interaction)	Other measurement
5591	GCST003399	Cognitive impairment (brain beta-amyloid deposition interaction)	Cognitive impairment (brain beta-amyloid deposition interaction)	Other trait
5592	GCST008644	Celiac disease and Rheumatoid arthritis	Celiac disease and Rheumatoid arthritis	Immune system disorder
5593	GCST008644	Celiac disease and Rheumatoid arthritis	Celiac disease and Rheumatoid arthritis	Immune system disorder
5594	GCST003455	Spherical equivalent (joint analysis main effects and education interaction)	Spherical equivalent (joint analysis main effects and education interaction)	Other measurement
5595	GCST003455	Spherical equivalent (joint analysis main effects and education interaction)	Spherical equivalent (joint analysis main effects and education interaction)	Other measurement
5596	GCST003822	Estrogen receptor status in HER2 positive breast cancer	Estrogen receptor status in HER2 positive breast cancer	Cancer
5597	GCST003822	Estrogen receptor status in HER2 positive breast cancer	Estrogen receptor status in HER2 positive breast cancer	Other measurement
5598	GCST003822	Estrogen receptor status in HER2 positive breast cancer	Estrogen receptor status in HER2 positive breast cancer	Other measurement
5599	GCST003823	Estrogen receptor status in HER2 negative breast cancer	Estrogen receptor status in HER2 negative breast cancer	Cancer
5600	GCST003823	Estrogen receptor status in HER2 negative breast cancer	Estrogen receptor status in HER2 negative breast cancer	Other measurement
5601	GCST003823	Estrogen receptor status in HER2 negative breast cancer	Estrogen receptor status in HER2 negative breast cancer	Other measurement
5602	GCST003821	Estrogen receptor status in breast cancer	Estrogen receptor status in breast cancer	Cancer
5603	GCST003821	Estrogen receptor status in breast cancer	Estrogen receptor status in breast cancer	Other measurement
5604	GCST003402	Membranous nephropathy	Membranous nephropathy	Other disease
5605	GCST003647	Body mass index	Body mass index	Body measurement
5606	GCST003647	Body mass index	Body mass index	Body measurement
5607	GCST003647	Body mass index	Body mass index	Other measurement
5608	GCST003649	Pneumococcal bacteremia	Pneumococcal bacteremia	Other disease
5609	GCST003650	Bacteremia	Bacteremia	Other disease
5610	GCST003688	Gestational age at birth (maternal effect)	Gestational age at birth (maternal effect)	Other measurement
5611	GCST003688	Gestational age at birth (maternal effect)	Gestational age at birth (maternal effect)	Other measurement
5612	GCST003688	Gestational age at birth (maternal effect)	Gestational age at birth (maternal effect)	Other measurement
5613	GCST003687	Gestational age at birth in labor-initiated deliveries (child effect)	Gestational age at birth in labor-initiated deliveries (child effect)	Other measurement
5614	GCST003687	Gestational age at birth in labor-initiated deliveries (child effect)	Gestational age at birth in labor-initiated deliveries (child effect)	Other measurement
5615	GCST003689	Gestational age at birth in premature rupture of membrane-initiated deliveries (child effect)	Gestational age at birth in premature rupture of membrane-initiated deliveries (child effect)	Other measurement
5616	GCST003689	Gestational age at birth in premature rupture of membrane-initiated deliveries (child effect)	Gestational age at birth in premature rupture of membrane-initiated deliveries (child effect)	Other measurement
5617	GCST003684	Gestational age at birth in labor-initiated deliveries (maternal effect)	Gestational age at birth in labor-initiated deliveries (maternal effect)	Other measurement
5618	GCST003684	Gestational age at birth in labor-initiated deliveries (maternal effect)	Gestational age at birth in labor-initiated deliveries (maternal effect)	Other measurement
5619	GCST003685	Gestational age at birth in premature rupture of membrane-initiated deliveries (maternal effect)	Gestational age at birth in premature rupture of membrane-initiated deliveries (maternal effect)	Other measurement
5620	GCST003685	Gestational age at birth in premature rupture of membrane-initiated deliveries (maternal effect)	Gestational age at birth in premature rupture of membrane-initiated deliveries (maternal effect)	Other measurement
5621	GCST003686	Gestational age at birth (child effect)	Gestational age at birth (child effect)	Other measurement
5622	GCST003686	Gestational age at birth (child effect)	Gestational age at birth (child effect)	Other measurement
5623	GCST003604	Sjögren's syndrome	Sjögren's syndrome	Neurological disorder
5624	GCST003648	Pathological gambling	Pathological gambling	Neurological disorder
5625	GCST003500	Asparaginase-induced acute pancreatitis in acute lymphoblastic leukemia	Asparaginase-induced acute pancreatitis in acute lymphoblastic leukemia	Cancer
5626	GCST003500	Asparaginase-induced acute pancreatitis in acute lymphoblastic leukemia	Asparaginase-induced acute pancreatitis in acute lymphoblastic leukemia	Digestive system disorder
5627	GCST003501	Asparaginase-induced acute pancreatitis in acute lymphoblastic leukemia (onset time)	Asparaginase-induced acute pancreatitis in acute lymphoblastic leukemia (onset time)	Cancer
5628	GCST003501	Asparaginase-induced acute pancreatitis in acute lymphoblastic leukemia (onset time)	Asparaginase-induced acute pancreatitis in acute lymphoblastic leukemia (onset time)	Digestive system disorder
5629	GCST003785	Neuroendocrine tumor	Neuroendocrine tumor	Cancer
5630	GCST003786	Small intestine neuroendocrine tumor	Small intestine neuroendocrine tumor	Cancer
5631	GCST003788	Pancreatic neuroendocrine tumor	Pancreatic neuroendocrine tumor	Cancer
5632	GCST003787	Bronchial neuroendocrine tumor	Bronchial neuroendocrine tumor	Cancer
5633	GCST004026	Alcohol consumption	Alcohol consumption	Biological process
5634	GCST004026	Alcohol consumption	Alcohol consumption	Other measurement
5635	GCST004027	Alcohol consumption (heavy vs. light/non-drinkers)	Alcohol consumption (heavy vs. light/non-drinkers)	Other measurement
5636	GCST003056	Gait variability	Gait variability	Other measurement
5637	GCST003054	Gait rhythm	Gait rhythm	Other measurement
5638	GCST003055	Tandem gait	Tandem gait	Other measurement
5639	GCST003664	Metabolite levels (lipid measures)	Metabolite levels (lipid measures)	Other measurement
5640	GCST003664	Metabolite levels (lipid measures)	Metabolite levels (lipid measures)	Other measurement
5641	GCST003666	Metabolite levels (small molecules and protein measures)	Metabolite levels (small molecules and protein measures)	Other measurement
5642	GCST003666	Metabolite levels (small molecules and protein measures)	Metabolite levels (small molecules and protein measures)	Other measurement
5643	GCST003666	Metabolite levels (small molecules and protein measures)	Metabolite levels (small molecules and protein measures)	Other measurement
5644	GCST003665	Metabolite levels (lipoprotein measures)	Metabolite levels (lipoprotein measures)	Other measurement
5645	GCST003665	Metabolite levels (lipoprotein measures)	Metabolite levels (lipoprotein measures)	Other measurement
5646	GCST003622	Systemic lupus erythematosus	Systemic lupus erythematosus	Immune system disorder
5647	GCST003775	Lung cancer	Lung cancer	Cancer
5648	GCST003775	Lung cancer	Lung cancer	Cancer
5649	GCST003775	Lung cancer	Lung cancer	Cancer
5650	GCST003778	Smoking status (current vs former)	Smoking status (current vs former)	Other measurement
5651	GCST003779	Smoking behaviour (cigarettes smoked per day)	Smoking behaviour (cigarettes smoked per day)	Other measurement
5652	GCST003776	Lung adenocarcinoma	Lung adenocarcinoma	Cancer
5653	GCST003777	Squamous cell lung carcinoma	Squamous cell lung carcinoma	Cancer
5654	GCST003628	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	Response to drug
5655	GCST003628	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	Neurological disorder
5656	GCST003628	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	Clozapine-induced agranulocytosis/granulocytopenia in treatment-resistant schizophrenia	Other trait
5657	GCST003881	Peanut allergy	Peanut allergy	Other measurement
5658	GCST003132	Eating disorder in bipolar disorder	Eating disorder in bipolar disorder	Metabolic disorder
5659	GCST003132	Eating disorder in bipolar disorder	Eating disorder in bipolar disorder	Neurological disorder
5660	GCST003135	Bipolar disorder and eating disorder	Bipolar disorder and eating disorder	Metabolic disorder
5661	GCST003135	Bipolar disorder and eating disorder	Bipolar disorder and eating disorder	Neurological disorder
5662	GCST003136	Bipolar disorder	Bipolar disorder	Neurological disorder
5663	GCST002983	Alzheimer's disease (late onset)	Alzheimer's disease (late onset)	Neurological disorder
5664	GCST002983	Alzheimer's disease (late onset)	Alzheimer's disease (late onset)	Neurological disorder
5665	GCST003150	Staphylococcus aureus infection	Staphylococcus aureus infection	Other disease
5666	GCST003149	Skin and soft tissue Staphylococcus aureus infection	Skin and soft tissue Staphylococcus aureus infection	Other disease
5667	GCST003192	Coronary artery aneurysm in Kawasaki disease	Coronary artery aneurysm in Kawasaki disease	Immune system disorder
5668	GCST003192	Coronary artery aneurysm in Kawasaki disease	Coronary artery aneurysm in Kawasaki disease	Cardiovascular disease
5669	GCST003101	Bone mineral density (spine) and age at menarche	Bone mineral density (spine) and age at menarche	Other measurement
5670	GCST003101	Bone mineral density (spine) and age at menarche	Bone mineral density (spine) and age at menarche	Other measurement
5671	GCST003102	Bone mineral density (hip) and age at menarche	Bone mineral density (hip) and age at menarche	Other measurement
5672	GCST003102	Bone mineral density (hip) and age at menarche	Bone mineral density (hip) and age at menarche	Other measurement
5673	GCST003094	Mitral valve prolapse	Mitral valve prolapse	Cardiovascular disease
5674	GCST003092	Myositis	Myositis	Immune system disorder
5675	GCST003116	Coronary artery disease	Coronary artery disease	Cardiovascular disease
5676	GCST003116	Coronary artery disease	Coronary artery disease	Cardiovascular disease
5677	GCST003117	Myocardial infarction	Myocardial infarction	Cardiovascular disease
5678	GCST003118	Response to serotonin reuptake inhibitors in non-psychotic unipolar depression	Response to serotonin reuptake inhibitors in non-psychotic unipolar depression	Response to drug
5679	GCST003118	Response to serotonin reuptake inhibitors in non-psychotic unipolar depression	Response to serotonin reuptake inhibitors in non-psychotic unipolar depression	Neurological disorder
5680	GCST003185	Nicotine dependence	Nicotine dependence	Neurological disorder
5681	GCST003096	Adiponectin levels	Adiponectin levels	Other measurement
5682	GCST003095	Adiponectin levels (BMI-adjusted)	Adiponectin levels (BMI-adjusted)	Other measurement
5683	GCST002982	Acute kidney injury in coronary artery bypass surgery (creatinine rise)	Acute kidney injury in coronary artery bypass surgery (creatinine rise)	Other trait
5684	GCST002982	Acute kidney injury in coronary artery bypass surgery (creatinine rise)	Acute kidney injury in coronary artery bypass surgery (creatinine rise)	Other trait
5685	GCST002982	Acute kidney injury in coronary artery bypass surgery (creatinine rise)	Acute kidney injury in coronary artery bypass surgery (creatinine rise)	Other measurement
5686	GCST002971	Corticobasal degeneration	Corticobasal degeneration	Neurological disorder
5687	GCST002970	Corticobasal degeneration	Corticobasal degeneration	Neurological disorder
5688	GCST002967	Mucinous ovarian carcinoma	Mucinous ovarian carcinoma	Cancer
5689	GCST002981	Longitudinal alcohol consumption	Longitudinal alcohol consumption	Other measurement
5690	GCST002958	Acute graft-versus-host disease in allogeneic hematopoietic stem cell transplantation	Acute graft-versus-host disease in allogeneic hematopoietic stem cell transplantation	Immune system disorder
5691	GCST002958	Acute graft-versus-host disease in allogeneic hematopoietic stem cell transplantation	Acute graft-versus-host disease in allogeneic hematopoietic stem cell transplantation	Biological process
5692	GCST003186	Cardiovascular disease in hypertension (ACE inhibitor interaction)	Cardiovascular disease in hypertension (ACE inhibitor interaction)	Other disease
5693	GCST003186	Cardiovascular disease in hypertension (ACE inhibitor interaction)	Cardiovascular disease in hypertension (ACE inhibitor interaction)	Cardiovascular disease
5694	GCST003186	Cardiovascular disease in hypertension (ACE inhibitor interaction)	Cardiovascular disease in hypertension (ACE inhibitor interaction)	Response to drug
5695	GCST003205	Cardiovascular disease in hypertension (calcium channel blocker interaction)	Cardiovascular disease in hypertension (calcium channel blocker interaction)	Response to drug
5696	GCST003205	Cardiovascular disease in hypertension (calcium channel blocker interaction)	Cardiovascular disease in hypertension (calcium channel blocker interaction)	Other disease
5697	GCST003205	Cardiovascular disease in hypertension (calcium channel blocker interaction)	Cardiovascular disease in hypertension (calcium channel blocker interaction)	Cardiovascular disease
5698	GCST003206	Myocardial infarction in hypertension (calcium channel blocker interaction)	Myocardial infarction in hypertension (calcium channel blocker interaction)	Response to drug
5699	GCST003206	Myocardial infarction in hypertension (calcium channel blocker interaction)	Myocardial infarction in hypertension (calcium channel blocker interaction)	Cardiovascular disease
5700	GCST003206	Myocardial infarction in hypertension (calcium channel blocker interaction)	Myocardial infarction in hypertension (calcium channel blocker interaction)	Cardiovascular disease
5701	GCST003204	Cardiovascular disease in hypertension (diuretic interaction)	Cardiovascular disease in hypertension (diuretic interaction)	Other disease
5702	GCST003204	Cardiovascular disease in hypertension (diuretic interaction)	Cardiovascular disease in hypertension (diuretic interaction)	Cardiovascular disease
5703	GCST003204	Cardiovascular disease in hypertension (diuretic interaction)	Cardiovascular disease in hypertension (diuretic interaction)	Response to drug
5704	GCST003203	Cardiovascular disease in hypertension (beta blocker interaction)	Cardiovascular disease in hypertension (beta blocker interaction)	Response to drug
5705	GCST003203	Cardiovascular disease in hypertension (beta blocker interaction)	Cardiovascular disease in hypertension (beta blocker interaction)	Other disease
5706	GCST003203	Cardiovascular disease in hypertension (beta blocker interaction)	Cardiovascular disease in hypertension (beta blocker interaction)	Cardiovascular disease
5707	GCST003187	Myocardial infarction in hypertension (ACE inhibitor interaction)	Myocardial infarction in hypertension (ACE inhibitor interaction)	Cardiovascular disease
